layer_index,z_mm,part_area_mm2,part_perimeter_mm,part_component_count,new_island_count,unsupported_area_mm2,support_area_mm2,support_perimeter_mm
0,0.015,0.04802025,5.01300298,1,0,0.0,89.0,356.0
1,0.045,0.26964654,9.53916969,1,0,0.07171963,88.0,352.0
2,0.075,0.59024384,12.3892224,1,0,0.04006961,87.0,348.0
3,0.105,0.98784407,14.8563649,1,0,0.03364833,86.5,346.0
4,0.135,1.4535544,16.84988426,1,0,0.02862478,86.0,344.0
5,0.165,1.97249838,18.55590318,1,0,0.02261475,85.5,342.0
6,0.195,2.54249736,20.26192209,1,0,0.02261475,85.0,338.0
7,0.225,3.16228138,21.8483643,1,0,0.02134478,85.0,338.0
8,0.255,3.82631988,23.21438104,1,0,0.0,85.0,338.0
9,0.285,4.52944037,24.52558009,1,0,0.0,85.0,338.0
10,0.315,5.27090315,25.77453509,1,0,0.0,85.0,338.0
11,0.345,6.04811499,26.97317385,1,0,0.0,85.0,338.0
12,0.375,6.86072913,28.17181261,1,0,0.0,85.0,338.0
13,0.405,7.70862463,29.33632829,1,0,0.0,85.0,338.0
14,0.435,8.58842993,30.33810396,1,0,0.0,85.0,338.0
15,0.465,9.49731441,31.3224376,1,0,0.0,85.0,338.0
16,0.495,10.43521576,32.30677125,1,0,0.0,85.0,338.0
17,0.525,11.40213398,33.2911049,1,0,0.0,85.0,338.0
18,0.555,12.39791769,34.24906413,1,0,0.0,85.0,338.0
19,0.585,13.42132728,35.17155023,1,0,0.0,85.0,338.0
20,0.615,14.47196195,36.06704275,1,0,0.0,85.0,338.0
21,0.645,15.54794749,36.90276001,1,0,0.0,85.0,338.0
22,0.675,16.64866127,37.73847728,1,0,0.0,85.0,338.0
23,0.705,17.77393679,38.55089066,1,0,0.0,85.0,338.0
24,0.735,18.92269021,39.33805345,1,0,0.0,85.0,338.0
25,0.765,20.09472604,40.12521623,1,0,0.0,85.0,338.0
26,0.795,21.29004426,40.91237902,1,0,0.0,85.0,338.0
27,0.825,22.50864489,41.69954181,1,0,0.0,85.0,338.0
28,0.855,23.74736523,42.50812203,1,0,0.0,85.0,338.0
29,0.885,24.88617941,43.32274328,1,0,0.0,85.0,338.0
30,0.915,25.92384819,44.134654,1,0,0.0,85.0,338.0
31,0.945,26.90597007,44.94698962,1,0,0.0,85.0,338.0
32,0.975,27.83869669,45.76028803,1,0,0.0,85.0,338.0
33,1.005,28.73288249,46.57509713,1,0,0.0,85.0,338.0
34,1.035,29.59632775,47.39068966,1,0,0.0,85.0,338.0
35,1.065,30.43252829,48.17888529,1,0,0.0,85.0,338.0
36,1.095,31.24095904,48.96241063,1,0,0.0,85.0,338.0
37,1.125,32.02611618,49.74820666,1,0,0.0,85.0,338.0
38,1.155,32.79313622,50.52584687,1,0,0.0,85.0,338.0
39,1.185,33.54091135,51.26801597,1,0,0.0,85.0,338.0
40,1.215,34.26961911,52.01088849,1,0,0.0,85.0,338.0
41,1.245,34.9813251,52.74894778,1,0,0.0,85.0,338.0
42,1.275,35.67760184,53.4663597,1,0,0.0,85.0,338.0
43,1.305,36.35978157,54.18377163,1,0,0.0,85.0,338.0
44,1.335,37.02869058,54.90199034,1,0,0.0,85.0,338.0
45,1.365,37.68586996,55.620375,1,0,0.0,85.0,338.0
46,1.395,38.33135469,56.33875967,1,0,0.0,85.0,338.0
47,1.425,38.96516112,57.05730995,1,0,0.0,85.0,338.0
48,1.455,39.58877181,57.76984737,1,0,0.0,85.0,338.0
49,1.485,40.20345255,58.43702236,1,0,0.0,85.0,338.0
50,1.515,40.80897778,59.10356151,1,0,0.0,85.0,338.0
51,1.545,41.40534724,59.77010066,1,0,0.0,85.0,338.0
52,1.575,41.99256095,60.43663981,1,0,0.0,85.0,338.0
53,1.605,42.57073348,61.10360276,1,0,0.0,85.0,338.0
54,1.635,43.14085981,61.77131143,1,0,0.0,85.0,338.0
55,1.665,43.70420419,62.4403023,1,0,0.0,85.0,338.0
56,1.695,44.26145425,63.10512709,1,0,0.0,85.0,338.0
57,1.725,44.81221425,63.75417017,1,0,0.0,85.0,338.0
58,1.755,45.35622083,64.39405542,1,0,0.0,85.0,338.0
59,1.785,45.89309914,65.01971759,1,0,0.0,85.0,338.0
60,1.815,46.42332137,65.64549299,1,0,0.0,85.0,338.0
61,1.845,46.94691083,66.2712684,1,0,0.0,85.0,338.0
62,1.875,47.46386836,66.89709514,1,0,0.0,85.0,338.0
63,1.905,47.97494436,67.52432584,1,0,0.0,85.0,338.0
64,1.935,48.48079269,68.15155654,1,0,0.0,85.0,338.0
65,1.965,48.98152136,68.76382655,1,0,0.0,85.0,338.0
66,1.995,49.47740151,69.37469755,1,0,0.0,85.0,338.0
67,2.025,49.96844197,69.98556856,1,0,0.0,85.0,338.0
68,2.055,50.45464273,70.59643956,1,0,0.0,85.0,338.0
69,2.085,50.93589145,71.19366648,1,0,0.0,85.0,338.0
70,2.115,51.41181357,71.78384245,1,0,0.0,85.0,338.0
71,2.145,51.88241223,72.37430525,1,0,0.0,85.0,338.0
72,2.175,52.34883765,72.9668831,1,0,0.0,85.0,338.0
73,2.205,52.81201379,73.55819615,1,0,0.0,85.0,338.0
74,2.235,53.27162115,74.13553056,1,0,0.0,85.0,338.0
75,2.265,53.7274294,74.71286497,1,0,0.0,85.0,338.0
76,2.295,54.17943856,75.29019939,1,0,0.0,85.0,338.0
77,2.325,54.62764861,75.8675338,1,0,0.0,85.0,338.0
78,2.355,55.07207419,76.44506308,1,0,0.0,85.0,338.0
79,2.385,55.51325284,77.02343128,1,0,0.0,85.0,338.0
80,2.415,55.95145208,77.5997333,1,0,0.0,85.0,338.0
81,2.445,56.38635904,78.16038601,1,0,0.0,85.0,338.0
82,2.475,56.81815738,78.72221437,1,0,0.0,85.0,338.0
83,2.505,57.24746318,79.27398696,1,0,0.0,85.0,338.0
84,2.535,57.67399535,79.82242976,1,0,0.0,85.0,338.0
85,2.565,58.09776479,80.37091104,1,0,0.0,85.0,338.0
86,2.595,58.51903528,80.92003142,1,0,0.0,85.0,338.0
87,2.625,58.93841837,81.46956043,1,0,0.0,85.0,338.0
88,2.655,59.35597285,82.01908577,1,0,0.0,85.0,338.0
89,2.685,59.77173144,82.56866559,1,0,0.0,85.0,338.0
90,2.715,60.18573505,83.11825314,1,0,0.0,85.0,338.0
91,2.745,60.59793793,83.6678586,1,0,0.0,85.0,338.0
92,2.775,61.00823711,84.21746918,1,0,0.0,85.0,338.0
93,2.805,61.41642064,84.74512174,1,0,0.0,85.0,338.0
94,2.835,61.8222253,85.26947486,1,0,0.0,85.0,338.0
95,2.865,62.22576321,85.79444023,1,0,0.0,85.0,338.0
96,2.895,62.62705203,86.3194056,1,0,0.0,85.0,338.0
97,2.925,63.02609176,86.84437097,1,0,0.0,85.0,338.0
98,2.955,63.42288239,87.36933634,1,0,0.0,85.0,338.0
99,2.985,63.81742392,87.89430171,1,0,0.0,85.0,338.0
100,3.015,64.20971636,88.41926708,1,0,0.0,85.0,338.0
101,3.045,64.5997597,88.94423245,1,0,0.0,85.0,338.0
102,3.075,64.98755395,89.46919782,1,0,0.0,85.0,338.0
103,3.105,65.3732027,89.9885056,1,0,0.0,85.0,338.0
104,3.135,65.75664676,90.50356614,1,0,0.0,85.0,338.0
105,3.165,66.13797612,91.01961568,1,0,0.0,85.0,338.0
106,3.195,66.51746574,91.52766345,1,0,0.0,85.0,338.0
107,3.225,66.89484891,92.03130854,1,0,0.0,85.0,338.0
108,3.255,67.27010202,92.53495363,1,0,0.0,85.0,338.0
109,3.285,67.64322508,93.03859873,1,0,0.0,85.0,338.0
110,3.315,68.01421808,93.54224382,1,0,0.0,85.0,338.0
111,3.345,68.38308103,94.04588892,1,0,0.0,85.0,338.0
112,3.375,68.7500312,94.55062733,1,0,0.0,85.0,338.0
113,3.405,69.1153784,95.05547923,1,0,0.0,85.0,338.0
114,3.435,69.47901068,95.552595,1,0,0.0,85.0,338.0
115,3.465,69.84070808,96.04801613,1,0,0.0,85.0,338.0
116,3.495,70.20046596,96.54351516,1,0,0.0,85.0,338.0
117,3.525,70.55860285,97.04037567,1,0,0.0,85.0,338.0
118,3.555,70.91536849,97.53499991,1,0,0.0,85.0,338.0
119,3.585,71.27051121,98.02149572,1,0,0.0,85.0,338.0
120,3.615,71.62391536,98.50799153,1,0,0.0,85.0,338.0
121,3.645,71.97560156,98.99493013,1,0,0.0,85.0,338.0
122,3.675,72.32575359,99.48251113,1,0,0.0,85.0,338.0
123,3.705,72.67441486,99.97009212,1,0,0.0,85.0,338.0
124,3.735,73.02150384,100.45159986,1,0,0.0,85.0,338.0
125,3.765,73.36687781,100.9320175,1,0,0.0,85.0,338.0
126,3.795,73.71053341,101.41243886,1,0,0.0,85.0,338.0
127,3.825,74.05246415,101.89286552,1,0,0.0,85.0,338.0
128,3.855,74.39279856,102.37452833,1,0,0.0,85.0,338.0
129,3.885,74.73167898,102.8562257,1,0,0.0,85.0,338.0
130,3.915,75.06905246,103.33327582,1,0,0.0,85.0,338.0
131,3.945,75.40471345,103.80578561,1,0,0.0,85.0,338.0
132,3.975,75.73872677,104.2739597,1,0,0.0,85.0,338.0
133,4.005,76.07118237,104.7421324,1,0,0.0,85.0,338.0
134,4.035,76.40209535,105.21030509,1,0,0.0,85.0,338.0
135,4.065,76.73146572,105.67847779,1,0,0.0,85.0,338.0
136,4.095,77.05929348,106.14665048,1,0,0.0,85.0,338.0
137,4.125,77.38557862,106.61482318,1,0,0.0,85.0,338.0
138,4.155,77.71032114,107.08299587,1,0,0.0,85.0,338.0
139,4.185,78.03353116,107.55032884,1,0,0.0,85.0,338.0
140,4.215,78.35534073,108.01445914,1,0,0.0,85.0,338.0
141,4.245,78.67583824,108.47869321,1,0,0.0,85.0,338.0
142,4.275,78.99515985,108.94094903,1,0,0.0,85.0,338.0
143,4.305,79.3132103,109.39806429,1,0,0.0,85.0,338.0
144,4.335,79.62993383,109.85517955,1,0,0.0,85.0,338.0
145,4.365,79.94533047,110.31229481,1,0,0.0,85.0,338.0
146,4.395,80.25940019,110.76941007,1,0,0.0,85.0,338.0
147,4.425,80.57214104,111.22576498,1,0,0.0,85.0,338.0
148,4.455,80.88343999,111.67773835,1,0,0.0,85.0,338.0
149,4.485,81.19323149,112.12971173,1,0,0.0,85.0,338.0
150,4.515,81.50151555,112.5816851,1,0,0.0,85.0,338.0
151,4.545,81.8083279,113.0343563,1,0,0.0,85.0,338.0
152,4.575,82.11406108,113.48872594,1,0,0.0,85.0,338.0
153,4.605,82.41904572,113.9432224,1,0,0.0,85.0,338.0
154,4.635,82.72354927,114.39773841,1,0,0.0,85.0,338.0
155,4.665,83.02747435,114.84636838,1,0,0.0,85.0,338.0
156,4.695,83.33043855,115.28909662,1,0,0.0,85.0,338.0
157,4.725,83.63218823,115.73126996,1,0,0.0,85.0,338.0
158,4.755,83.93221428,116.17355815,1,0,0.0,85.0,338.0
159,4.785,84.23091227,116.61651345,1,0,0.0,85.0,338.0
160,4.815,84.52855716,117.05949163,1,0,0.0,85.0,338.0
161,4.845,84.82516619,117.50251537,1,0,0.0,85.0,338.0
162,4.875,85.12055261,117.94554615,1,0,0.0,85.0,338.0
163,4.905,85.41468981,118.38864225,1,0,0.0,85.0,338.0
164,4.935,85.70760798,118.8303907,1,0,0.0,85.0,338.0
165,4.965,85.99948949,119.27032318,1,0,0.0,85.0,338.0
166,4.995,86.29041654,119.71072242,1,0,0.0,85.0,338.0
167,5.025,86.58059662,120.15149743,1,0,0.0,85.0,338.0
168,5.055,86.86999384,120.58686391,1,0,0.0,85.0,338.0
169,5.085,87.15846764,121.02069711,1,0,0.0,85.0,338.0
170,5.115,87.44601289,121.4545303,1,0,0.0,85.0,338.0
171,5.145,87.73262961,121.88836349,1,0,0.0,85.0,338.0
172,5.175,88.0183178,122.32219669,1,0,0.0,85.0,338.0
173,5.205,88.30302252,122.75248445,1,0,0.0,85.0,338.0
174,5.235,88.58663319,123.18264948,1,0,0.0,85.0,338.0
175,5.265,88.86914649,123.61297811,1,0,0.0,85.0,338.0
176,5.295,89.15056243,124.04330674,1,0,0.0,85.0,338.0
177,5.325,89.43088492,124.47395223,1,0,0.0,85.0,338.0
178,5.355,89.71022164,124.90571518,1,0,0.0,85.0,338.0
179,5.385,89.98862122,125.33747813,1,0,0.0,85.0,338.0
180,5.415,90.26608365,125.76924107,1,0,0.0,85.0,338.0
181,5.445,90.54260471,126.19852752,1,0,0.0,85.0,338.0
182,5.475,90.81796661,126.62048841,1,0,0.0,85.0,338.0
183,5.505,91.09214912,127.04251575,1,0,0.0,85.0,338.0
184,5.535,91.36516427,127.46454309,1,0,0.0,85.0,338.0
185,5.565,91.63702913,127.88658711,1,0,0.0,85.0,338.0
186,5.595,91.90821457,128.30868714,1,0,0.0,85.0,338.0
187,5.625,92.17893841,128.73078717,1,0,0.0,85.0,338.0
188,5.655,92.44908639,129.15285223,1,0,0.0,85.0,338.0
