layer_index,z_mm,part_area_mm2,part_perimeter_mm,part_component_count,new_island_count,unsupported_area_mm2,support_area_mm2,support_perimeter_mm
0,0.02,397.97983302,663.45884582,3,0,0.0,146.75,261.0
1,0.06,397.94472983,663.45524428,3,0,0.0,146.75,261.0
2,0.1,397.91056256,663.45164275,3,0,0.0,146.75,261.0
3,0.14,397.8773312,663.44804121,3,0,0.0,146.75,261.0
4,0.18,397.84503576,663.44443967,3,0,0.0,146.75,261.0
5,0.22,397.81367624,663.44083814,3,0,0.0,146.75,261.0
6,0.26,397.78325263,663.4372366,3,0,0.0,146.75,261.0
7,0.3,397.75376494,663.43363506,3,0,0.0,146.75,261.0
8,0.34,397.72521317,663.43003353,3,0,0.0,146.75,261.0
9,0.38,397.69759732,663.42643199,3,0,0.0,146.75,261.0
10,0.42,397.67091738,663.42283045,3,0,0.0,146.75,261.0
11,0.46,397.64517336,663.41922892,3,0,0.0,146.75,261.0
12,0.5,397.62036525,663.41562738,3,0,0.0,146.75,261.0
13,0.54,397.59649306,663.41202584,3,0,0.0,146.75,261.0
14,0.58,397.57355679,663.40842431,3,0,0.0,146.75,261.0
15,0.62,397.55155644,663.40482277,3,0,0.0,146.75,261.0
16,0.66,397.530492,663.40122123,3,0,0.0,146.75,261.0
17,0.7,397.51036348,663.39762639,3,0,0.0,146.75,261.0
18,0.74,397.49114481,663.39408077,3,0,0.0,146.75,261.0
19,0.78,397.47278202,663.39054403,3,0,0.0,146.75,261.0
20,0.82,397.45527345,663.38700728,3,0,0.0,146.75,261.0
21,0.86,397.4386191,663.38347053,3,0,0.0,146.75,261.0
22,0.9,397.42281897,663.37993378,3,0,0.0,146.75,261.0
23,0.94,397.40787306,663.37639704,3,0,0.0,146.75,261.0
24,0.98,397.39378138,663.37286029,3,0,0.0,146.75,261.0
25,1.02,397.38054391,663.36932354,3,0,0.0,146.75,261.0
26,1.06,397.36816067,663.36578679,3,0,0.0,146.75,261.0
27,1.1,397.35663164,663.36225004,3,0,0.0,146.75,261.0
28,1.14,397.34595684,663.3587133,3,0,0.0,146.75,261.0
29,1.18,397.3361362,663.35518018,3,0,0.0,146.75,261.0
30,1.22,397.32716705,663.35166479,3,0,0.0,146.75,261.0
31,1.26,397.31904796,663.3481494,3,0,0.0,146.75,261.0
32,1.3,397.31424591,663.34477052,3,0,0.0,146.75,261.0
33,1.34,397.31152878,663.34172907,3,0,0.0,146.75,261.0
34,1.38,397.30820875,663.33874701,3,0,0.0,146.75,261.0
35,1.42,397.29659962,663.3360733,3,0,0.0,146.75,261.0
36,1.46,397.28255445,663.33353625,3,0,0.0,146.75,261.0
37,1.5,397.269522,663.33096129,3,0,0.0,146.75,261.0
38,1.54,397.25744186,663.32838632,3,0,0.0,146.75,261.0
39,1.58,397.24631403,663.32581135,3,0,0.0,146.75,261.0
40,1.62,397.23613852,663.32323639,3,0,0.0,146.75,261.0
41,1.66,397.22691533,663.32066142,3,0,0.0,146.75,261.0
42,1.7,397.21864445,663.31808646,3,0,0.0,146.75,261.0
43,1.74,397.21132589,663.31551149,3,0,0.0,146.75,261.0
44,1.78,397.20495964,663.31293653,3,0,0.0,146.75,261.0
45,1.82,397.19954571,663.31036156,3,0,0.0,146.75,261.0
46,1.86,397.1950841,663.3077866,3,0,0.0,146.75,261.0
47,1.9,397.1915748,663.30521163,3,0,0.0,146.75,261.0
48,1.94,397.18901782,663.30263667,3,0,0.0,146.75,261.0
49,1.98,397.18728048,663.30006255,3,0,0.0,146.75,261.0
50,2.02,397.1864875,663.29752032,3,0,0.0,146.75,261.0
51,2.06,397.18666977,663.2949781,3,0,0.0,146.75,261.0
52,2.1,397.18785108,663.29244734,3,0,0.0,146.75,261.0
53,2.14,397.19005845,663.28991697,3,0,0.0,146.75,261.0
54,2.18,397.19329192,663.2873866,3,0,0.0,146.75,261.0
55,2.22,397.19755148,663.28485623,3,0,0.0,146.75,261.0
56,2.26,397.20283713,663.28232586,3,0,0.0,146.75,261.0
57,2.3,397.20914887,663.27979549,3,0,0.0,146.75,261.0
58,2.34,397.21648671,663.27726511,3,0,0.0,146.75,261.0
59,2.38,397.23316784,663.27531153,3,0,0.0,146.75,261.0
60,2.42,397.25366347,663.27348478,3,0,0.0,146.75,261.0
61,2.46,397.27629243,663.27168095,3,0,0.0,146.75,261.0
62,2.5,397.30345247,663.26999072,3,0,0.0,146.75,261.0
63,2.54,397.33768014,663.26846069,3,0,0.0,146.75,261.0
64,2.58,397.37364308,663.26693067,3,0,0.0,146.75,261.0
65,2.62,397.4016692,663.26556441,3,0,0.0,146.75,261.0
66,2.66,397.41738483,663.26441868,3,0,0.0,146.75,261.0
67,2.7,397.43381042,663.26332146,3,0,0.0,146.75,261.0
68,2.74,397.45160611,663.2622625,3,0,0.0,146.75,261.0
69,2.78,397.47229571,663.26145312,3,0,0.0,146.75,261.0
70,2.82,397.48769248,663.26086946,3,0,0.0,146.75,261.0
71,2.86,397.49336919,663.26045765,3,0,0.0,146.75,261.0
72,2.9,397.49249805,663.26020077,3,0,0.0,146.75,261.0
73,2.94,397.47825568,663.2601346,3,0,0.0,146.75,261.0
74,2.98,397.4618135,663.26012062,3,0,0.0,146.75,261.0
75,3.02,397.44647811,663.26010664,3,0,0.0,146.75,261.0
76,3.06,397.43224949,663.26009267,3,0,0.0,146.75,261.0
77,3.1,397.41912766,663.26007869,3,0,0.0,146.75,261.0
78,3.14,397.40711261,663.26006471,3,0,0.0,146.75,261.0
79,3.18,397.39620434,663.26005073,3,0,0.0,146.75,261.0
80,3.22,397.3864622,663.26005435,3,0,0.0,146.75,261.0
81,3.26,397.37799127,663.2600612,3,0,0.0,146.75,261.0
82,3.3,397.37079358,663.26006806,3,0,0.0,146.75,261.0
83,3.34,397.36486912,663.26007491,3,0,0.0,146.75,261.0
84,3.38,397.36021788,663.26008177,3,0,0.0,146.75,261.0
85,3.42,397.35683988,663.26008862,3,0,0.0,146.75,261.0
86,3.46,397.35472721,663.26010076,3,0,0.0,146.75,261.0
87,3.5,397.35384885,663.26011624,3,0,0.0,146.75,261.0
88,3.54,397.35418905,663.2601359,3,0,0.0,146.75,261.0
89,3.58,397.35476041,663.26016987,3,0,0.0,146.75,261.0
90,3.62,397.35622278,663.2602039,3,0,0.0,146.75,261.0
91,3.66,397.35865222,663.26023834,3,0,0.0,146.75,261.0
92,3.7,397.36233537,663.26027304,3,0,0.0,146.75,261.0
93,3.74,397.3673033,663.26030773,3,0,0.0,146.75,261.0
94,3.78,397.37345631,663.26034243,3,0,0.0,146.75,261.0
95,3.82,397.38170573,663.26040922,3,0,0.0,146.75,261.0
96,3.86,397.39342054,663.26051625,3,0,0.0,146.75,261.0
97,3.9,397.40734128,663.26069266,3,0,0.0,146.75,261.0
98,3.94,397.41041671,663.26115399,3,0,0.0,146.75,261.0
99,3.98,397.41143495,663.261737,3,0,0.0,146.75,261.0
100,4.02,397.41433786,663.26233822,3,0,0.0,146.75,261.0
101,4.06,397.41915387,663.26294023,3,0,0.0,146.75,261.0
102,4.1,397.42576654,663.26356098,3,0,0.0,146.75,261.0
103,4.14,397.43336617,663.2642087,3,0,0.0,146.75,261.0
104,4.18,397.43941711,663.26493984,3,0,0.0,146.75,261.0
105,4.22,397.43943898,663.26584318,3,0,0.0,146.75,261.0
106,4.26,397.43701507,663.26679792,3,0,0.0,146.75,261.0
107,4.3,397.43405828,663.26779934,3,0,0.0,146.75,261.0
108,4.34,397.43200925,663.26879989,3,0,0.0,146.75,261.0
109,4.38,397.42966588,663.26976628,3,0,0.0,146.75,261.0
110,4.42,397.42781339,663.27070241,3,0,0.0,146.75,261.0
111,4.46,397.42661216,663.2716428,3,0,0.0,146.75,261.0
112,4.5,397.42611594,663.27260379,3,0,0.0,146.75,261.0
113,4.54,397.42635352,663.27356477,3,0,0.0,146.75,261.0
114,4.58,397.42732769,663.27451946,3,0,0.0,146.75,261.0
115,4.62,397.42930578,663.27542653,3,0,0.0,146.75,261.0
116,4.66,397.43253626,663.27634111,3,0,0.0,146.75,261.0
117,4.7,397.43824076,663.2772589,3,0,0.0,146.75,261.0
118,4.74,397.44005084,663.27802045,3,0,0.0,146.75,261.0
119,4.78,397.44421613,663.27880421,3,0,0.0,146.75,261.0
120,4.82,397.44998468,663.27962295,3,0,0.0,146.75,261.0
121,4.86,397.45601167,663.28045302,3,0,0.0,146.75,261.0
122,4.9,397.46225831,663.28129841,3,0,0.0,146.75,261.0
123,4.94,397.46851054,663.28216879,3,0,0.0,146.75,261.0
124,4.98,397.47398016,663.28303148,3,0,0.0,146.75,261.0
125,5.02,397.47942294,663.28388563,3,0,0.0,146.75,261.0
126,5.06,397.48708921,663.28474544,3,0,0.0,146.75,261.0
127,5.1,397.4943323,663.28556567,3,0,0.0,146.75,261.0
128,5.14,397.49879829,663.28632754,3,0,0.0,146.75,261.0
129,5.18,397.50137252,663.28702274,3,0,0.0,146.75,261.0
130,5.22,397.50480304,663.28766895,3,0,0.0,146.75,261.0
131,5.26,397.5067792,663.28811863,3,0,0.0,146.75,261.0
132,5.3,397.51062349,663.28855815,3,0,0.0,146.75,261.0
133,5.34,397.51380975,663.28899406,3,0,0.0,146.75,261.0
134,5.38,397.516215,663.28943583,3,0,0.0,146.75,261.0
135,5.42,397.51756436,663.2898774,3,0,0.0,146.75,261.0
136,5.46,397.51786169,663.29028785,3,0,0.0,146.75,261.0
137,5.5,397.51766236,663.29060942,3,0,0.0,146.75,261.0
138,5.54,397.51611751,663.29086382,3,0,0.0,146.75,261.0
139,5.58,397.51398511,663.2910394,3,0,0.0,146.75,261.0
140,5.62,397.51372189,663.2910683,3,0,0.0,146.75,261.0
141,5.66,397.51346004,663.29102669,3,0,0.0,146.75,261.0
142,5.7,397.51081348,663.29086817,3,0,0.0,146.75,261.0
143,5.74,397.50733491,663.29063234,3,0,0.0,146.75,261.0
144,5.78,397.50349889,663.2903965,3,0,0.0,146.75,261.0
145,5.82,397.49937232,663.29015926,3,0,0.0,146.75,261.0
146,5.86,397.49701189,663.28987653,3,0,0.0,146.75,261.0
147,5.9,397.49416949,663.28961924,3,0,0.0,146.75,261.0
148,5.94,397.49075647,663.28934324,3,0,0.0,146.75,261.0
149,5.98,397.48645892,663.28905395,3,0,0.0,146.75,261.0
150,6.02,397.48137151,663.28876284,3,0,0.0,146.75,261.0
151,6.06,397.47549712,663.28847172,3,0,0.0,146.75,261.0
152,6.1,397.46883531,663.28818067,3,0,0.0,146.75,261.0
153,6.14,397.46137937,663.28790058,3,0,0.0,146.75,261.0
154,6.18,397.45301541,663.2876422,3,0,0.0,146.75,261.0
155,6.22,397.44359548,663.28733842,3,0,0.0,146.75,261.0
156,6.26,397.43360538,663.28700444,3,0,0.0,146.75,261.0
157,6.3,397.423533,663.28669175,3,0,0.0,146.75,261.0
158,6.34,397.41378004,663.28640114,3,0,0.0,146.75,261.0
159,6.38,397.40439316,663.28606414,3,0,0.0,146.75,261.0
160,6.42,397.39536296,663.28570235,3,0,0.0,146.75,261.0
161,6.46,397.386588,663.28533748,3,0,0.0,146.75,261.0
162,6.5,397.37757509,663.28496805,3,0,0.0,146.75,261.0
163,6.54,397.36817215,663.28458675,3,0,0.0,146.75,261.0
164,6.58,397.35799903,663.28424266,3,0,0.0,146.75,261.0
165,6.62,397.34748948,663.2838623,3,0,0.0,146.75,261.0
166,6.66,397.33683763,663.28349475,3,0,0.0,146.75,261.0
167,6.7,397.32586673,663.28317537,3,0,0.0,146.75,261.0
168,6.74,397.31448144,663.28286023,3,0,0.0,146.75,261.0
169,6.78,397.30293135,663.28254853,3,0,0.0,146.75,261.0
170,6.82,397.29132455,663.28224161,3,0,0.0,146.75,261.0
171,6.86,397.27970544,663.28193936,3,0,0.0,146.75,261.0
172,6.9,397.26822931,663.28162689,3,0,0.0,146.75,261.0
173,6.94,397.25655786,663.28131253,3,0,0.0,146.75,261.0
174,6.98,397.24579262,663.28092541,3,0,0.0,146.75,261.0
175,7.02,397.2354795,663.28052823,3,0,0.0,146.75,261.0
176,7.06,397.23007343,663.28011099,3,0,0.0,146.75,261.0
177,7.1,397.22836122,663.27971648,3,0,0.0,146.75,261.0
178,7.14,397.22584083,663.27936705,3,0,0.0,146.75,261.0
179,7.18,397.22405045,663.27901306,3,0,0.0,146.75,261.0
180,7.22,397.22290727,663.27866889,3,0,0.0,146.75,261.0
181,7.26,397.22221456,663.27836063,3,0,0.0,146.75,261.0
182,7.3,397.22068158,663.27811133,3,0,0.0,146.75,261.0
183,7.34,397.21971751,663.27789086,3,0,0.0,146.75,261.0
184,7.38,397.21955246,663.27770359,3,0,0.0,146.75,261.0
185,7.42,397.22032988,663.27752605,3,0,0.0,146.75,261.0
186,7.46,397.22227757,663.27733331,3,0,0.0,146.75,261.0
187,7.5,397.22740257,663.27713236,3,0,0.0,146.75,261.0
188,7.54,397.23399318,663.27694621,3,0,0.0,146.75,261.0
189,7.58,397.24159174,663.2767947,3,0,0.0,146.75,261.0
190,7.62,397.24990325,663.27671987,3,0,0.0,146.75,261.0
191,7.66,397.25950424,663.27662986,3,0,0.0,146.75,261.0
192,7.7,397.27066639,663.27656148,3,0,0.0,146.75,261.0
193,7.74,397.28346547,663.27651397,3,0,0.0,146.75,261.0
194,7.78,397.29825845,663.27654539,3,0,0.0,146.75,261.0
195,7.82,397.31531473,663.27660247,3,0,0.0,146.75,261.0
196,7.86,397.32904517,663.27674797,3,0,0.0,146.75,261.0
197,7.9,397.34352721,663.27691766,3,0,0.0,146.75,261.0
198,7.94,397.35827059,663.27704273,3,0,0.0,146.75,261.0
199,7.98,397.37175396,663.27716235,3,0,0.0,146.75,261.0
200,8.02,397.38451648,663.27729097,3,0,0.0,146.75,261.0
201,8.06,397.39681167,663.27742532,3,0,0.0,146.75,261.0
202,8.1,397.40847245,663.27759923,3,0,0.0,146.75,261.0
203,8.14,397.41903213,663.27778503,3,0,0.0,146.75,261.0
204,8.18,397.42916784,663.27799989,3,0,0.0,146.75,261.0
205,8.22,397.44602796,663.27830918,3,0,0.0,146.75,261.0
206,8.26,397.46345572,663.27868104,3,0,0.0,146.75,261.0
207,8.3,397.4765745,663.27917129,3,0,0.0,146.75,261.0
208,8.34,397.48725392,663.27962116,3,0,0.0,146.75,261.0
209,8.38,397.4941618,663.28013498,3,0,0.0,146.75,261.0
210,8.42,397.49884078,663.28067726,3,0,0.0,146.75,261.0
211,8.46,397.50188115,663.28121877,3,0,0.0,146.75,261.0
212,8.5,397.50406879,663.28171097,3,0,0.0,146.75,261.0
213,8.54,397.50571164,663.28215909,3,0,0.0,146.75,261.0
214,8.58,397.50301657,663.28264536,3,0,0.0,146.75,261.0
215,8.62,397.49648939,663.2831536,3,0,0.0,146.75,261.0
216,8.66,397.48858193,663.28364843,3,0,0.0,146.75,261.0
217,8.7,397.47866364,663.28415913,3,0,0.0,146.75,261.0
218,8.74,397.46466438,663.28461515,3,0,0.0,146.75,261.0
219,8.78,397.44974593,663.28511493,3,0,0.0,146.75,261.0
220,8.82,397.43707137,663.2856406,3,0,0.0,146.75,261.0
221,8.86,397.42678031,663.28616627,3,0,0.0,146.75,261.0
222,8.9,397.41887276,663.28669197,3,0,0.0,146.75,261.0
223,8.94,397.41342837,663.28721501,3,0,0.0,146.75,261.0
224,8.98,397.41001362,663.28771634,3,0,0.0,146.75,261.0
225,9.02,397.40807769,663.28813994,3,0,0.0,146.75,261.0
226,9.06,397.40673494,663.28845247,3,0,0.0,146.75,261.0
227,9.1,397.40591024,663.2888116,3,0,0.0,146.75,261.0
228,9.14,397.4025003,663.28927446,3,0,0.0,146.75,261.0
229,9.18,397.39666043,663.28979639,3,0,0.0,146.75,261.0
230,9.22,397.39070426,663.2903198,3,0,0.0,146.75,261.0
231,9.26,397.38366821,663.29078947,3,0,0.0,146.75,261.0
232,9.3,397.3780846,663.29124139,3,0,0.0,146.75,261.0
233,9.34,397.37416601,663.29168041,3,0,0.0,146.75,261.0
234,9.38,397.37196432,663.29205431,3,0,0.0,146.75,261.0
235,9.42,397.35973866,663.29213237,3,0,0.0,146.75,261.0
236,9.46,397.34616058,663.29209242,3,0,0.0,146.75,261.0
237,9.5,397.33392791,663.29206404,3,0,0.0,146.75,261.0
238,9.54,397.32272282,663.29204456,3,0,0.0,146.75,261.0
239,9.58,397.31255327,663.29205435,3,0,0.0,146.75,261.0
240,9.62,397.30339377,663.29208801,3,0,0.0,146.75,261.0
241,9.66,397.29529631,663.29213168,3,0,0.0,146.75,261.0
242,9.7,397.2878856,663.29219874,3,0,0.0,146.75,261.0
243,9.74,397.28129008,663.29231316,3,0,0.0,146.75,261.0
244,9.78,397.27534928,663.29251458,3,0,0.0,146.75,261.0
245,9.82,397.26995251,663.29277876,3,0,0.0,146.75,261.0
246,9.86,397.26507821,663.29304483,3,0,0.0,146.75,261.0
247,9.9,397.26065138,663.29331369,3,0,0.0,146.75,261.0
248,9.94,397.25539466,663.29363774,3,0,0.0,146.75,261.0
249,9.98,397.24524468,663.2938976,3,0,0.0,146.75,261.0
250,10.02,397.23619656,663.29420466,3,0,0.0,146.75,261.0
251,10.06,397.22719355,663.2944899,3,0,0.0,146.75,261.0
252,10.1,397.21820255,663.29477812,3,0,0.0,146.75,261.0
253,10.14,397.20917618,663.2950954,3,0,0.0,146.75,261.0
254,10.18,397.20099709,663.29548555,3,0,0.0,146.75,261.0
255,10.22,397.19480643,663.2958915,3,0,0.0,146.75,261.0
256,10.26,397.18918572,663.29625195,3,0,0.0,146.75,261.0
257,10.3,397.18397485,663.29665489,3,0,0.0,146.75,261.0
258,10.34,397.17889633,663.29710141,3,0,0.0,146.75,261.0
259,10.38,397.17416762,663.29754579,3,0,0.0,146.75,261.0
260,10.42,397.17019582,663.29802983,3,0,0.0,146.75,261.0
261,10.46,397.17123199,663.29812584,3,0,0.0,146.75,261.0
262,10.5,397.1728378,663.29815678,3,0,0.0,146.75,261.0
263,10.54,397.17354597,663.29809859,3,0,0.0,146.75,261.0
264,10.58,397.16984715,663.29786629,3,0,0.0,146.75,261.0
265,10.62,397.16678771,663.29763881,3,0,0.0,146.75,261.0
266,10.66,397.16380617,663.29741952,3,0,0.0,146.75,261.0
267,10.7,397.16052752,663.29723348,3,0,0.0,146.75,261.0
268,10.74,397.15688725,663.29713231,3,0,0.0,146.75,261.0
269,10.78,397.15111507,663.29700052,3,0,0.0,146.75,261.0
270,10.82,397.14278572,663.2968468,3,0,0.0,146.75,261.0
271,10.86,397.13360543,663.29667149,3,0,0.0,146.75,261.0
272,10.9,397.12430467,663.2964287,3,0,0.0,146.75,261.0
273,10.94,397.11551298,663.29612652,3,0,0.0,146.75,261.0
274,10.98,397.104103,663.29574647,3,0,0.0,146.75,261.0
275,11.02,397.08674108,663.29533765,3,0,0.0,146.75,261.0
276,11.06,397.06785697,663.29486181,3,0,0.0,146.75,261.0
277,11.1,397.04369033,663.294235,3,0,0.0,146.75,261.0
278,11.14,397.01892207,663.29355057,3,0,0.0,146.75,261.0
279,11.18,396.996935,663.29271935,3,0,0.0,146.75,261.0
280,11.22,396.97570186,663.29197303,3,0,0.0,146.75,261.0
281,11.26,396.95523932,663.29122382,3,0,0.0,146.75,261.0
282,11.3,396.93552467,663.29048839,3,0,0.0,146.75,261.0
283,11.34,396.91451237,663.2897922,3,0,0.0,146.75,261.0
284,11.38,396.89307003,663.28893967,3,0,0.0,146.75,261.0
285,11.42,396.87554409,663.28796016,3,0,0.0,146.75,261.0
286,11.46,396.85950539,663.28699775,3,0,0.0,146.75,261.0
287,11.5,396.8449325,663.2860666,3,0,0.0,146.75,261.0
288,11.54,396.83240594,663.28513717,3,0,0.0,146.75,261.0
289,11.58,396.82211787,663.28420775,3,0,0.0,146.75,261.0
290,11.62,396.81407363,663.28329994,3,0,0.0,146.75,261.0
291,11.66,396.81178113,663.28232831,3,0,0.0,146.75,261.0
292,11.7,396.81429621,663.28124598,3,0,0.0,146.75,261.0
293,11.74,396.81852533,663.28013832,3,0,0.0,146.75,261.0
294,11.78,396.82398422,663.27919551,3,0,0.0,146.75,261.0
295,11.82,396.8312766,663.27832024,3,0,0.0,146.75,261.0
296,11.86,396.840446,663.27747455,3,0,0.0,146.75,261.0
297,11.9,396.85136425,663.27668338,3,0,0.0,146.75,261.0
298,11.94,396.86384783,663.27593603,3,0,0.0,146.75,261.0
299,11.98,396.87807019,663.27518174,3,0,0.0,146.75,261.0
300,12.02,396.89426485,663.27442415,3,0,0.0,146.75,261.0
301,12.06,396.91200298,663.27362763,3,0,0.0,146.75,261.0
302,12.1,396.931133,663.27279987,3,0,0.0,146.75,261.0
303,12.14,396.95144255,663.27192413,3,0,0.0,146.75,261.0
304,12.18,396.97241626,663.27106739,3,0,0.0,146.75,261.0
305,12.22,396.99393855,663.27024435,3,0,0.0,146.75,261.0
306,12.26,397.01621537,663.26949137,3,0,0.0,146.75,261.0
307,12.3,397.03932605,663.26874698,3,0,0.0,146.75,261.0
308,12.34,397.06337726,663.26817373,3,0,0.0,146.75,261.0
309,12.38,397.08841405,663.26759653,3,0,0.0,146.75,261.0
310,12.42,397.11430584,663.26702832,3,0,0.0,146.75,261.0
311,12.46,397.14596076,663.26648912,3,0,0.0,146.75,261.0
312,12.5,397.1795093,663.26596173,3,0,0.0,146.75,261.0
313,12.54,397.2132352,663.26546909,3,0,0.0,146.75,261.0
314,12.58,397.2474246,663.26504273,3,0,0.0,146.75,261.0
315,12.62,397.28256907,663.26465214,3,0,0.0,146.75,261.0
316,12.66,397.31665087,663.26428252,3,0,0.0,146.75,261.0
317,12.7,397.34967781,663.26391227,3,0,0.0,146.75,261.0
318,12.74,397.38104424,663.26360711,3,0,0.0,146.75,261.0
319,12.78,397.41039128,663.26332377,3,0,0.0,146.75,261.0
320,12.82,397.43871789,663.26311376,3,0,0.0,146.75,261.0
321,12.86,397.46653741,663.26285444,3,0,0.0,146.75,261.0
322,12.9,397.49318757,663.26254753,3,0,0.0,146.75,261.0
323,12.94,397.51874306,663.26225371,3,0,0.0,146.75,261.0
324,12.98,397.54334914,663.26199247,3,0,0.0,146.75,261.0
325,13.02,397.56708282,663.26179337,3,0,0.0,146.75,261.0
326,13.06,397.58166528,663.26171966,3,0,0.0,146.75,261.0
327,13.1,397.58214808,663.26180693,3,0,0.0,146.75,261.0
328,13.14,397.58175526,663.26199322,3,0,0.0,146.75,261.0
329,13.18,397.58069199,663.26225191,3,0,0.0,146.75,261.0
330,13.22,397.57850622,663.26256985,3,0,0.0,146.75,261.0
331,13.26,397.5757842,663.2628581,3,0,0.0,146.75,261.0
332,13.3,397.57259956,663.26313255,3,0,0.0,146.75,261.0
333,13.34,397.56896845,663.26340921,3,0,0.0,146.75,261.0
334,13.38,397.56479317,663.26369258,3,0,0.0,146.75,261.0
335,13.42,397.56017997,663.26398586,3,0,0.0,146.75,261.0
336,13.46,397.55527608,663.26427357,3,0,0.0,146.75,261.0
337,13.5,397.55000058,663.26446309,3,0,0.0,146.75,261.0
338,13.54,397.54391744,663.26460244,3,0,0.0,146.75,261.0
339,13.58,397.53679957,663.26473595,3,0,0.0,146.75,261.0
340,13.62,397.52909153,663.26485066,3,0,0.0,146.75,261.0
341,13.66,397.52090573,663.26494264,3,0,0.0,146.75,261.0
342,13.7,397.51228864,663.26509334,3,0,0.0,146.75,261.0
343,13.74,397.5044467,663.26526547,3,0,0.0,146.75,261.0
344,13.78,397.48913482,663.26552597,3,0,0.0,146.75,261.0
345,13.82,397.47291067,663.26577912,3,0,0.0,146.75,261.0
