layer_index,z_mm,part_area_mm2,part_perimeter_mm,part_component_count,new_island_count,unsupported_area_mm2,support_area_mm2,support_perimeter_mm
0,0.015,0.03184177,4.02064046,1,0,0.0,2.0,10.0
1,0.045,0.19505559,6.86731922,1,0,0.03980192,1.5,8.0
2,0.075,0.43573571,8.94711574,1,0,0.03201962,1.0,6.0
3,0.105,0.72926819,10.65689063,1,0,0.02270018,0.5,4.0
4,0.135,1.07269248,12.17428366,1,0,0.0215514,0.0,0.0
5,0.165,1.45514585,13.39747044,1,0,0.0,0.0,0.0
6,0.195,1.87394165,14.62065723,1,0,0.0,0.0,0.0
7,0.225,2.32889975,15.78726051,1,0,0.0,0.0,0.0
8,0.255,2.81456355,16.74055441,1,0,0.0,0.0,0.0
9,0.285,3.328373,17.69384831,1,0,0.0,0.0,0.0
10,0.315,3.87032811,18.64714221,1,0,0.0,0.0,0.0
11,0.345,4.44038965,19.57947083,1,0,0.0,0.0,0.0
12,0.375,5.03537452,20.36138039,1,0,0.0,0.0,0.0
13,0.405,5.65326418,21.14328994,1,0,0.0,0.0,0.0
14,0.435,6.29405864,21.9251995,1,0,0.0,0.0,0.0
15,0.465,6.95775789,22.70710906,1,0,0.0,0.0,0.0
16,0.495,7.64432623,23.47246323,1,0,0.0,0.0,0.0
17,0.525,8.35149996,24.13601406,1,0,0.0,0.0,0.0
18,0.555,9.07792918,24.7995649,1,0,0.0,0.0,0.0
19,0.585,9.82361388,25.46311573,1,0,0.0,0.0,0.0
20,0.615,10.58855406,26.12666657,1,0,0.0,0.0,0.0
21,0.645,11.37274972,26.79021741,1,0,0.0,0.0,0.0
22,0.675,12.1761025,27.43037853,1,0,0.0,0.0,0.0
23,0.705,12.99673375,28.00736526,1,0,0.0,0.0,0.0
24,0.735,13.83392587,28.58435199,1,0,0.0,0.0,0.0
25,0.765,14.68767889,29.16133872,1,0,0.0,0.0,0.0
26,0.795,15.55799279,29.73832545,1,0,0.0,0.0,0.0
27,0.825,16.44486757,30.31531218,1,0,0.0,0.0,0.0
28,0.855,17.34830324,30.89229891,1,0,0.0,0.0,0.0
29,0.885,18.26801613,31.43478536,1,0,0.0,0.0,0.0
30,0.915,19.20244941,31.94575728,1,0,0.0,0.0,0.0
31,0.945,20.15136641,32.4567292,1,0,0.0,0.0,0.0
32,0.975,21.11476712,32.96770112,1,0,0.0,0.0,0.0
33,1.005,22.09265154,33.47867304,1,0,0.0,0.0,0.0
34,1.035,23.08501967,33.98964496,1,0,0.0,0.0,0.0
35,1.065,24.09187151,34.50061688,1,0,0.0,0.0,0.0
36,1.095,25.11320705,35.0115888,1,0,0.0,0.0,0.0
37,1.125,26.1483446,35.47538914,1,0,0.0,0.0,0.0
38,1.155,27.19631817,35.93439418,1,0,0.0,0.0,0.0
39,1.185,28.25712073,36.39339921,1,0,0.0,0.0,0.0
40,1.215,29.33075227,36.85240425,1,0,0.0,0.0,0.0
41,1.245,30.4172128,37.31140929,1,0,0.0,0.0,0.0
42,1.275,31.51650231,37.77041433,1,0,0.0,0.0,0.0
43,1.305,32.62862081,38.22941937,1,0,0.0,0.0,0.0
44,1.335,33.75356829,38.68842441,1,0,0.0,0.0,0.0
45,1.365,34.89121521,39.12907397,1,0,0.0,0.0,0.0
46,1.395,36.04055203,39.54613118,1,0,0.0,0.0,0.0
47,1.425,37.20136473,39.96318839,1,0,0.0,0.0,0.0
48,1.455,38.37365333,40.3802456,1,0,0.0,0.0,0.0
49,1.485,39.5574178,40.79730281,1,0,0.0,0.0,0.0
50,1.515,40.75265817,41.21436001,1,0,0.0,0.0,0.0
51,1.545,41.95937442,41.63141722,1,0,0.0,0.0,0.0
52,1.575,43.17756656,42.04847443,1,0,0.0,0.0,0.0
53,1.605,44.40723459,42.46553164,1,0,0.0,0.0,0.0
