layer_index,z_mm,part_area_mm2,part_perimeter_mm,part_component_count,new_island_count,unsupported_area_mm2,support_area_mm2,support_perimeter_mm
0,0.015,0.534,12.178,1,0,0.0,524.75,100.0
1,0.045,1.602,12.534,1,0,0.78,524.75,100.0
2,0.075,2.67,12.89,1,0,0.78,524.75,100.0
3,0.105,3.738,13.246,1,0,0.78,521.5,99.0
4,0.135,4.806,13.602,1,0,0.78,521.5,99.0
5,0.165,5.874,13.958,1,0,0.78,521.5,99.0
6,0.195,6.942,14.314,1,0,0.78,518.25,98.0
7,0.225,8.01,14.67,1,0,0.78,518.25,98.0
8,0.255,9.078,15.026,1,0,0.78,518.25,98.0
9,0.285,10.146,15.382,1,0,0.78,515.0,97.0
10,0.315,11.214,15.738,1,0,0.78,515.0,97.0
11,0.345,12.282,16.094,1,0,0.78,515.0,97.0
12,0.375,13.35,16.45,1,0,0.78,511.75,97.0
13,0.405,14.418,16.806,1,0,0.78,511.75,97.0
14,0.435,15.486,17.162,1,0,0.78,511.75,97.0
15,0.465,16.554,17.518,1,0,0.78,511.75,97.0
16,0.495,17.622,17.874,1,0,0.78,508.5,97.0
17,0.525,18.69,18.23,1,0,0.78,508.5,97.0
18,0.555,19.758,18.586,1,0,0.78,508.5,97.0
19,0.585,20.826,18.942,1,0,0.78,505.25,97.0
20,0.615,21.894,19.298,1,0,0.78,505.25,97.0
21,0.645,22.962,19.654,1,0,0.78,505.25,97.0
22,0.675,24.03,20.01,1,0,0.78,502.0,97.0
23,0.705,25.098,20.366,1,0,0.78,502.0,97.0
24,0.735,26.166,20.722,1,0,0.78,502.0,97.0
25,0.765,27.234,21.078,1,0,0.78,498.75,97.0
26,0.795,28.302,21.434,1,0,0.78,498.75,97.0
27,0.825,29.37,21.79,1,0,0.78,498.75,97.0
28,0.855,30.438,22.146,1,0,0.78,495.5,97.0
29,0.885,31.506,22.502,1,0,0.78,495.5,97.0
30,0.915,32.574,22.858,1,0,0.78,495.5,97.0
31,0.945,33.642,23.214,1,0,0.78,492.25,97.0
32,0.975,34.71,23.57,1,0,0.78,492.25,97.0
33,1.005,35.778,23.926,1,0,0.78,492.25,97.0
34,1.035,36.846,24.282,1,0,0.78,489.0,97.0
35,1.065,37.914,24.638,1,0,0.78,489.0,97.0
36,1.095,38.982,24.994,1,0,0.78,489.0,97.0
37,1.125,40.05,25.35,1,0,0.78,485.75,97.0
38,1.155,41.118,25.706,1,0,0.78,485.75,97.0
39,1.185,42.186,26.062,1,0,0.78,485.75,97.0
40,1.215,43.254,26.418,1,0,0.78,485.75,97.0
41,1.245,44.322,26.774,1,0,0.78,482.5,97.0
42,1.275,45.39,27.13,1,0,0.78,482.5,97.0
43,1.305,46.458,27.486,1,0,0.78,482.5,97.0
44,1.335,47.526,27.842,1,0,0.78,479.25,97.0
45,1.365,48.594,28.198,1,0,0.78,479.25,97.0
46,1.395,49.662,28.554,1,0,0.78,479.25,97.0
47,1.425,50.73,28.91,1,0,0.78,476.0,97.0
48,1.455,51.798,29.266,1,0,0.78,476.0,97.0
49,1.485,52.866,29.622,1,0,0.78,476.0,97.0
50,1.515,53.934,29.978,1,0,0.78,472.75,97.0
51,1.545,55.002,30.334,1,0,0.78,472.75,97.0
52,1.575,56.07,30.69,1,0,0.78,472.75,97.0
53,1.605,57.138,31.046,1,0,0.78,469.5,97.0
54,1.635,58.206,31.402,1,0,0.78,469.5,97.0
55,1.665,59.274,31.758,1,0,0.78,469.5,97.0
56,1.695,60.342,32.114,1,0,0.78,466.25,97.0
57,1.725,61.41,32.47,1,0,0.78,466.25,97.0
58,1.755,62.478,32.826,1,0,0.78,466.25,97.0
59,1.785,63.546,33.182,1,0,0.78,463.0,97.0
60,1.815,64.614,33.538,1,0,0.78,463.0,97.0
61,1.845,65.682,33.894,1,0,0.78,463.0,97.0
62,1.875,66.75,34.25,1,0,0.78,459.75,97.0
63,1.905,67.818,34.606,1,0,0.78,459.75,97.0
64,1.935,68.886,34.962,1,0,0.78,459.75,97.0
