layer_index,z_mm,part_area_mm2,part_perimeter_mm,part_component_count,new_island_count,unsupported_area_mm2,support_area_mm2,support_perimeter_mm
0,0.015,684.0,240.0,1,0,0.0,8085.75,533.0
1,0.045,684.0,240.0,1,0,0.0,8085.75,533.0
2,0.075,684.0,240.0,1,0,0.0,8085.75,533.0
3,0.105,684.0,240.0,1,0,0.0,8085.75,533.0
4,0.135,684.0,240.0,1,0,0.0,8085.75,533.0
5,0.165,684.0,240.0,1,0,0.0,8085.75,533.0
6,0.195,684.0,240.0,1,0,0.0,8085.75,533.0
7,0.225,684.0,240.0,1,0,0.0,8085.75,533.0
8,0.255,684.0,240.0,1,0,0.0,8085.75,533.0
9,0.285,684.0,240.0,1,0,0.0,8085.75,533.0
10,0.315,684.0,240.0,1,0,0.0,8085.75,533.0
11,0.345,684.0,240.0,1,0,0.0,8085.75,533.0
12,0.375,684.0,240.0,1,0,0.0,8085.75,533.0
13,0.405,684.0,240.0,1,0,0.0,8085.75,533.0
14,0.435,684.0,240.0,1,0,0.0,8085.75,533.0
15,0.465,684.0,240.0,1,0,0.0,8085.75,533.0
16,0.495,684.0,240.0,1,0,0.0,8085.75,533.0
17,0.525,684.0,240.0,1,0,0.0,8085.75,533.0
18,0.555,684.0,240.0,1,0,0.0,8085.75,533.0
19,0.585,684.0,240.0,1,0,0.0,8085.75,533.0
20,0.615,684.0,240.0,1,0,0.0,8085.75,533.0
21,0.645,684.0,240.0,1,0,0.0,8085.75,533.0
22,0.675,684.0,240.0,1,0,0.0,8085.75,533.0
23,0.705,684.0,240.0,1,0,0.0,8085.75,533.0
24,0.735,684.0,240.0,1,0,0.0,8085.75,533.0
25,0.765,684.0,240.0,1,0,0.0,8085.75,533.0
26,0.795,684.0,240.0,1,0,0.0,8085.75,533.0
27,0.825,684.0,240.0,1,0,0.0,8085.75,533.0
28,0.855,684.0,240.0,1,0,0.0,8085.75,533.0
29,0.885,684.0,240.0,1,0,0.0,8085.75,533.0
30,0.915,684.0,240.0,1,0,0.0,8085.75,533.0
31,0.945,684.0,240.0,1,0,0.0,8085.75,533.0
32,0.975,684.0,240.0,1,0,0.0,8085.75,533.0
33,1.005,684.0,240.0,1,0,0.0,8085.75,533.0
34,1.035,684.0,240.0,1,0,0.0,8085.75,533.0
35,1.065,684.0,240.0,1,0,0.0,8085.75,533.0
36,1.095,684.0,240.0,1,0,0.0,8085.75,533.0
37,1.125,684.0,240.0,1,0,0.0,8085.75,533.0
38,1.155,684.0,240.0,1,0,0.0,8085.75,533.0
39,1.185,684.0,240.0,1,0,0.0,8085.75,533.0
40,1.215,684.0,240.0,1,0,0.0,8085.75,533.0
41,1.245,684.0,240.0,1,0,0.0,8085.75,533.0
42,1.275,684.0,240.0,1,0,0.0,8085.75,533.0
43,1.305,684.0,240.0,1,0,0.0,8085.75,533.0
44,1.335,684.0,240.0,1,0,0.0,8085.75,533.0
45,1.365,684.0,240.0,1,0,0.0,8085.75,533.0
46,1.395,684.0,240.0,1,0,0.0,8085.75,533.0
47,1.425,684.0,240.0,1,0,0.0,8085.75,533.0
48,1.455,684.0,240.0,1,0,0.0,8085.75,533.0
49,1.485,684.0,240.0,1,0,0.0,8085.75,533.0
50,1.515,684.0,240.0,1,0,0.0,8085.75,533.0
51,1.545,684.0,240.0,1,0,0.0,8085.75,533.0
52,1.575,684.0,240.0,1,0,0.0,8085.75,533.0
53,1.605,684.0,240.0,1,0,0.0,8085.75,533.0
54,1.635,684.0,240.0,1,0,0.0,8085.75,533.0
