layer_index,z_mm,part_area_mm2,part_perimeter_mm,part_component_count,new_island_count,unsupported_area_mm2,support_area_mm2,support_perimeter_mm
0,0.03,0.11197206,6.05347944,1,0,0.0,10.75,42.0
1,0.09,0.63695819,10.89864586,1,0,0.1499977,9.75,38.0
2,0.15,1.39336688,14.31821726,1,0,0.0909784,8.75,34.0
3,0.21,2.32673974,16.79766519,1,0,0.063475,8.25,32.0
4,0.27,3.40566805,19.24404311,1,0,0.06153765,7.25,30.0
5,0.33,4.61369668,21.15099973,1,0,0.04516402,6.25,28.0
6,0.39,5.93436005,23.05759117,1,0,0.04514366,5.75,24.0
7,0.45,7.36527488,24.80102414,1,0,0.04276038,5.25,22.0
8,0.51,8.89067654,26.36485989,1,0,0.03469344,4.75,20.0
9,0.57,10.5076773,27.92869565,1,0,0.03469344,4.25,18.0
10,0.63,12.21510407,29.39781179,1,0,0.03352036,3.75,16.0
11,0.69,14.00211256,30.72492636,1,0,0.02745697,3.75,16.0
12,0.75,15.86606619,32.05204092,1,0,0.02745697,3.25,16.0
13,0.81,17.80696496,33.37915549,1,0,0.02745697,2.75,14.0
14,0.87,19.82154586,34.57182875,1,0,0.02419394,1.75,10.0
15,0.93,21.90251908,35.72580891,1,0,0.02215844,1.25,8.0
16,0.99,24.04961433,36.87978906,1,0,0.02215844,1.25,8.0
17,1.05,26.26283162,38.03376922,1,0,0.02215844,0.75,4.0
18,1.11,28.54061553,39.10709536,1,0,0.02060303,0.75,4.0
19,1.17,30.8768169,40.12905049,1,0,0.0,0.75,4.0
20,1.23,33.27080473,41.15100562,1,0,0.0,0.75,4.0
21,1.29,35.72257902,42.17296074,1,0,0.0,0.75,4.0
22,1.35,38.23213976,43.19491587,1,0,0.0,0.75,4.0
23,1.41,40.79675255,44.12230434,1,0,0.0,0.75,4.0
24,1.47,43.41257271,45.04032563,1,0,0.0,0.75,4.0
25,1.53,46.07957342,45.95834692,1,0,0.01497995,0.75,4.0
26,1.59,48.79775467,46.87636821,1,0,0.0,0.75,4.0
27,1.65,51.56711647,47.7943895,1,0,0.0,0.75,4.0
28,1.71,54.38640493,48.65528932,1,0,0.0,0.75,4.0
29,1.77,57.25173964,49.48941389,1,0,0.0,0.75,4.0
30,1.83,60.16284512,50.32353847,1,0,0.0,0.75,4.0
31,1.89,63.11972134,51.15766304,1,0,0.0,0.75,4.0
32,1.95,66.12236832,51.99178761,1,0,0.0,0.75,4.0
33,2.01,69.17078606,52.82591219,1,0,0.0,0.75,4.0
34,2.07,72.26300771,53.59560604,1,0,0.0,0.75,4.0
35,2.13,75.39431194,54.38127007,1,0,0.0,0.75,4.0
36,2.19,78.2926024,55.37624895,1,0,0.0,0.75,4.0
37,2.25,80.95272721,56.36482783,1,0,0.0,0.75,4.0
38,2.31,83.46611895,57.35021501,1,0,0.0,0.75,4.0
39,2.37,85.86739994,58.32993119,1,0,0.0,0.75,4.0
40,2.43,88.1742939,59.27001365,1,0,0.0,0.75,4.0
41,2.49,90.40045373,60.18551355,1,0,0.0,0.75,4.0
42,2.55,92.55670164,61.10101344,1,0,0.0,0.75,4.0
43,2.61,94.64646984,62.01269541,1,0,0.0,0.75,4.0
44,2.67,96.68337334,62.92193592,1,0,0.0,0.75,4.0
45,2.73,98.66881568,63.83117642,1,0,0.0,0.75,4.0
46,2.79,100.60533441,64.73656918,1,0,0.0,0.75,4.0
47,2.85,102.50127908,65.59466469,1,0,0.0,0.75,4.0
48,2.91,104.35568086,66.44846332,1,0,0.0,0.75,4.0
49,2.97,106.16862292,67.30140802,1,0,0.0,0.75,4.0
50,3.03,107.94628072,68.14904758,1,0,0.0,0.75,4.0
51,3.09,109.69235269,68.99668714,1,0,0.0,0.75,4.0
52,3.15,111.40683882,69.84432669,1,0,0.0,0.75,4.0
53,3.21,113.08985573,70.69091147,1,0,0.0,0.75,4.0
54,3.27,114.74577902,71.5043746,1,0,0.0,0.75,4.0
55,3.33,116.37515588,72.30354413,1,0,0.0,0.75,4.0
56,3.39,117.9778193,73.10271366,1,0,0.0,0.75,4.0
57,3.45,119.55376925,73.9018832,1,0,0.0,0.75,4.0
58,3.51,121.10468156,74.69665758,1,0,0.0,0.75,4.0
59,3.57,122.63497824,75.48978554,1,0,0.0,0.75,4.0
60,3.63,124.14489446,76.2829135,1,0,0.0,0.75,4.0
61,3.69,125.63443023,77.07604145,1,0,0.0,0.75,4.0
62,3.75,127.10245055,77.83475137,1,0,0.0,0.75,4.0
63,3.81,128.5492056,78.58619008,1,0,0.0,0.75,4.0
64,3.87,129.97811448,79.33648628,1,0,0.0,0.75,4.0
65,3.93,131.38927272,80.08678247,1,0,0.0,0.75,4.0
66,3.99,132.78268029,80.83707867,1,0,0.0,0.75,4.0
67,4.05,134.15833721,81.58737486,1,0,0.0,0.75,4.0
68,4.11,135.51663993,82.33516202,1,0,0.0,0.75,4.0
69,4.17,136.86086922,83.07954232,1,0,0.0,0.75,4.0
70,4.23,138.19111977,83.80000973,1,0,0.0,0.75,4.0
71,4.29,139.50577655,84.51202803,1,0,0.0,0.75,4.0
72,4.35,140.80476015,85.22404632,1,0,0.0,0.75,4.0
73,4.41,142.08807056,85.93606461,1,0,0.0,0.75,4.0
74,4.47,143.35634426,86.64468539,1,0,0.0,0.75,4.0
75,4.53,144.6123884,87.35085251,1,0,0.0,0.75,4.0
76,4.59,145.85653495,88.05701963,1,0,0.0,0.75,4.0
77,4.65,147.08878391,88.76318675,1,0,0.0,0.75,4.0
78,4.71,148.30912666,89.46676012,1,0,0.0,0.75,4.0
79,4.77,149.51633691,90.14426629,1,0,0.0,0.75,4.0
80,4.83,150.71160656,90.89100524,1,0,0.0,0.75,4.0
81,4.89,151.93026108,91.80985862,1,0,0.0,0.75,4.0
82,4.95,153.18504969,92.728712,1,0,0.0,0.75,4.0
83,5.01,154.47597238,93.64756538,1,0,0.0,0.75,4.0
84,5.07,155.80302915,94.56641875,1,0,0.0,0.75,4.0
85,5.13,157.16622,95.48527213,1,0,0.0,0.75,4.0
86,5.19,158.56210179,96.50912546,1,0,0.0,0.75,4.0
87,5.25,159.95795039,97.69421042,1,0,0.0,0.75,4.0
88,5.31,161.34467774,98.85377772,1,0,0.0,0.75,4.0
89,5.37,162.72132956,100.01334502,1,0,0.0,0.75,4.0
90,5.43,164.08790583,101.17291232,1,0,0.0,0.75,4.0
91,5.49,165.44440657,102.33247962,1,0,0.0,0.75,4.0
92,5.55,166.79083178,103.49204692,1,0,0.0,0.75,4.0
93,5.61,168.12728278,104.6500307,1,0,0.0,0.75,4.0
94,5.67,169.45558274,105.80392628,1,0,0.0,0.75,4.0
95,5.73,170.77640706,106.95782186,1,0,0.0,0.75,4.0
96,5.79,172.08975575,108.11171745,1,0,0.0,0.75,4.0
97,5.85,173.39541869,109.25437684,1,0,0.0,0.75,4.0
98,5.91,174.69207744,110.38528886,1,0,0.0,0.75,4.0
99,5.97,175.97950232,111.51620087,1,0,0.0,0.75,4.0
100,6.03,177.25769335,112.64711289,1,0,0.0,0.75,4.0
101,6.09,178.52733789,113.77386021,1,0,0.0,0.75,4.0
102,6.15,179.8559522,114.8991627,1,0,0.0,0.75,4.0
103,6.21,181.17766211,116.02446081,1,0,0.0,0.75,4.0
104,6.27,182.49246761,117.14975891,1,0,0.0,0.75,4.0
105,6.33,183.8003687,118.27505701,1,0,0.0,0.75,4.0
106,6.39,185.10136539,119.40035511,1,0,0.0,0.75,4.0
107,6.45,186.39519866,120.51390598,1,0,0.0,0.75,4.0
108,6.51,187.68065873,121.61841642,1,0,0.0,0.75,4.0
109,6.57,188.95824983,122.71853214,1,0,0.0,0.75,4.0
110,6.63,190.22937242,123.81748387,1,0,0.0,0.75,4.0
111,6.69,191.49407264,124.91643559,1,0,0.0,0.75,4.0
112,6.75,192.7523505,126.01538732,1,0,0.0,0.75,4.0
113,6.81,194.00504752,127.16102469,1,0,0.0,0.75,4.0
114,6.87,195.28288998,128.50413045,1,0,0.0,0.75,4.0
115,6.93,196.57732647,129.60308216,1,0,0.0,0.75,4.0
116,6.99,197.8653406,130.70203387,1,0,0.0,0.75,4.0
117,7.05,199.14707114,131.79390249,1,0,0.0,0.75,4.0
118,7.11,200.42291529,132.86843795,1,0,0.0,0.75,4.0
119,7.17,201.6927474,133.94297341,1,0,0.0,0.75,4.0
120,7.23,202.9568955,134.98542306,1,0,0.0,0.75,4.0
121,7.29,204.24377346,135.78828273,1,0,0.0,0.75,4.0
122,7.35,205.55090922,136.84641163,1,0,0.0,0.75,4.0
123,7.41,206.85211873,137.92094705,1,0,0.0,0.75,4.0
124,7.47,208.14731621,138.99548246,1,0,0.0,0.75,4.0
125,7.53,209.43650168,140.07001788,1,0,0.0,0.75,4.0
