layer_index,z_mm,part_area_mm2,part_perimeter_mm,part_component_count,new_island_count,unsupported_area_mm2,support_area_mm2,support_perimeter_mm
0,0.015,0.03206505,4.26769032,1,0,0.0,2.5,12.0
1,0.045,0.21358397,7.47683621,1,0,0.05066521,1.5,8.0
2,0.075,0.47982029,10.0437531,1,0,0.03886122,1.0,6.0
3,0.105,0.80692132,11.753539,1,0,0.02274639,0.5,4.0
4,0.135,1.18514306,13.4633249,1,0,0.02274639,0.0,0.0
5,0.165,1.61311,14.96288251,1,0,0.0213709,0.0,0.0
6,0.195,2.07983661,16.1860718,1,0,0.0,0.0,0.0
7,0.225,2.58294575,17.4092611,1,0,0.0,0.0,0.0
8,0.255,3.12243741,18.63245039,1,0,0.0,0.0,0.0
9,0.285,3.69728929,19.7210583,1,0,0.0,0.0,0.0
10,0.315,4.30133413,20.67435447,1,0,0.0,0.0,0.0
11,0.345,4.9335385,21.62765064,1,0,0.0,0.0,0.0
12,0.375,5.59390239,22.58094682,1,0,0.0,0.0,0.0
13,0.405,6.2824258,23.53424299,1,0,0.0,0.0,0.0
14,0.435,6.99857131,24.41006963,1,0,0.0,0.0,0.0
15,0.465,7.73840592,25.19198804,1,0,0.0,0.0,0.0
16,0.495,8.50113992,25.97390645,1,0,0.0,0.0,0.0
17,0.525,9.28677332,26.75582486,1,0,0.0,0.0,0.0
18,0.555,10.09530612,27.53774326,1,0,0.0,0.0,0.0
19,0.585,10.92673831,28.31966167,1,0,0.0,0.0,0.0
20,0.615,11.78090471,29.06604078,1,0,0.0,0.0,0.0
21,0.645,12.65520308,29.72959863,1,0,0.0,0.0,0.0
22,0.675,13.54873628,30.39315648,1,0,0.0,0.0,0.0
23,0.705,14.46150431,31.05671433,1,0,0.0,0.0,0.0
24,0.735,15.39350718,31.72027218,1,0,0.0,0.0,0.0
25,0.765,16.34474488,32.38383004,1,0,0.0,0.0,0.0
26,0.795,17.31521741,33.04738789,1,0,0.0,0.0,0.0
27,0.825,18.30492097,33.70635524,1,0,0.0,0.0,0.0
28,0.855,19.31236635,34.28334588,1,0,0.0,0.0,0.0
29,0.885,20.33633998,34.86033652,1,0,0.0,0.0,0.0
30,0.915,21.37684185,35.43732717,1,0,0.0,0.0,0.0
31,0.945,22.43387198,36.01431781,1,0,0.0,0.0,0.0
32,0.975,23.50743035,36.59130845,1,0,0.0,0.0,0.0
33,1.005,24.59751698,37.16829909,1,0,0.0,0.0,0.0
34,1.035,25.70413185,37.74528973,1,0,0.0,0.0,0.0
35,1.065,26.82727497,38.32228038,1,0,0.0,0.0,0.0
36,1.095,27.9664053,38.85162328,1,0,0.0,0.0,0.0
37,1.125,29.12006731,39.36260143,1,0,0.0,0.0,0.0
38,1.155,30.28818063,39.87357958,1,0,0.0,0.0,0.0
39,1.185,31.47074526,40.38455773,1,0,0.0,0.0,0.0
40,1.215,32.6677612,40.89553588,1,0,0.0,0.0,0.0
41,1.245,33.87922844,41.40651403,1,0,0.0,0.0,0.0
42,1.275,35.10514699,41.91749219,1,0,0.0,0.0,0.0
43,1.305,36.34551685,42.42847034,1,0,0.0,0.0,0.0
44,1.335,37.60033802,42.93944849,1,0,0.0,0.0,0.0
45,1.365,38.86952601,43.4338104,1,0,0.0,0.0,0.0
46,1.395,40.1518951,43.89282177,1,0,0.0,0.0,0.0
47,1.425,41.44706292,44.35183313,1,0,0.0,0.0,0.0
48,1.455,42.75502946,44.8108445,1,0,0.0,0.0,0.0
49,1.485,44.07579474,45.26985586,1,0,0.0,0.0,0.0
50,1.515,45.40935875,45.72886723,1,0,0.0,0.0,0.0
51,1.545,46.75572149,46.1878786,1,0,0.0,0.0,0.0
52,1.575,48.11488295,46.64688996,1,0,0.0,0.0,0.0
53,1.605,49.48684315,47.10590133,1,0,0.0,0.0,0.0
54,1.635,50.87160208,47.5649127,1,0,0.0,0.0,0.0
55,1.665,52.26915974,48.02392406,1,0,0.0,0.0,0.0
56,1.695,53.6790135,48.44678827,1,0,0.0,0.0,0.0
57,1.725,55.10032512,48.86385142,1,0,0.0,0.0,0.0
58,1.755,56.53308166,49.28091458,1,0,0.0,0.0,0.0
59,1.785,57.97728312,49.69797774,1,0,0.0,0.0,0.0
60,1.815,59.4329295,50.1150409,1,0,0.0,0.0,0.0
61,1.845,60.90002079,50.53210405,1,0,0.0,0.0,0.0
62,1.875,62.37855701,50.94916721,1,0,0.0,0.0,0.0
63,1.905,63.86853814,51.36623037,1,0,0.0,0.0,0.0
64,1.935,65.3699642,51.78329353,1,0,0.0,0.0,0.0
65,1.965,66.88283517,52.20035668,1,0,0.0,0.0,0.0
66,1.995,68.40715106,52.61741984,1,0,0.0,0.0,0.0
67,2.025,69.94283668,53.02189348,1,0,0.0,0.0,0.0
68,2.055,71.48906286,53.40439603,1,0,0.0,0.0,0.0
69,2.085,73.04560059,53.78689858,1,0,0.0,0.0,0.0
70,2.115,74.61244986,54.16940114,1,0,0.0,0.0,0.0
71,2.145,76.16177033,54.62767201,1,0,0.0,0.0,0.0
72,2.175,77.61028913,55.12492694,1,0,0.0,0.0,0.0
73,2.205,78.9976133,55.62101134,1,0,0.0,0.0,0.0
74,2.235,80.33252751,56.11513794,1,0,0.0,0.0,0.0
75,2.265,81.63135672,56.60807696,1,0,0.0,0.0,0.0
76,2.295,82.89568402,57.10101599,1,0,0.0,0.0,0.0
77,2.325,84.12775507,57.59197381,1,0,0.0,0.0,0.0
78,2.355,85.33579389,58.08178033,1,0,0.0,0.0,0.0
79,2.385,86.52055881,58.57158685,1,0,0.0,0.0,0.0
