layer_index,z_mm,part_area_mm2,part_perimeter_mm,part_component_count,new_island_count,unsupported_area_mm2,support_area_mm2,support_perimeter_mm
0,0.02,0.05315936,4.493457,1,0,0.0,9.5,37.0
1,0.06,0.30828757,8.08930945,1,0,0.07029138,8.75,37.0
2,0.1,0.67716709,10.36905453,1,0,0.04039135,8.0,37.0
3,0.14,1.13450916,12.37407292,1,0,0.03804645,5.5,29.0
4,0.18,1.66084795,14.00498236,1,0,0.02732234,4.75,24.0
5,0.22,2.25182595,15.62308924,1,0,0.02731311,4.5,23.0
6,0.26,2.89964802,16.89414166,1,0,0.02004572,4.0,21.0
7,0.3,3.59752939,18.16519409,1,0,0.02004572,3.75,19.0
8,0.34,4.34547005,19.43624651,1,0,0.02004572,3.5,17.0
9,0.38,5.13906373,20.48521782,1,0,0.0,3.5,17.0
10,0.42,5.97339161,21.52777746,1,0,0.0,3.5,17.0
11,0.46,6.84845003,22.57033709,1,0,0.0,3.5,17.0
12,0.5,7.76405585,23.57542601,1,0,0.0,3.5,17.0
13,0.54,8.71578366,24.46016442,1,0,0.0,3.5,17.0
14,0.58,9.70174415,25.34490282,1,0,0.0,3.5,17.0
15,0.62,10.72193733,26.22964123,1,0,0.0,3.5,17.0
16,0.66,11.77636318,27.11437964,1,0,0.0,3.5,17.0
17,0.7,12.86333737,27.90240842,1,0,0.0,3.5,17.0
18,0.74,13.97980876,28.67172326,1,0,0.0,3.5,17.0
19,0.78,15.12571426,29.4410381,1,0,0.0,3.5,17.0
20,0.82,16.30105389,30.21035294,1,0,0.0,3.5,17.0
21,0.86,17.50582764,30.97966778,1,0,0.0,3.5,17.0
22,0.9,18.73891196,31.6803099,1,0,0.0,3.5,17.0
23,0.94,19.99782838,32.36161048,1,0,0.0,3.5,17.0
24,0.98,21.28248779,33.04291105,1,0,0.0,3.5,17.0
25,1.02,22.59289018,33.72421163,1,0,0.0,3.5,17.0
26,1.06,23.92903555,34.4055122,1,0,0.0,3.5,17.0
27,1.1,25.29091616,35.08178334,1,0,0.0,3.5,17.0
28,1.14,26.67686456,35.69379299,1,0,0.0,3.5,17.0
29,1.18,28.08561675,36.30580263,1,0,0.0,3.5,17.0
30,1.22,29.51717273,36.91781228,1,0,0.0,3.5,17.0
