layer_index,z_mm,part_area_mm2,part_perimeter_mm,part_component_count,new_island_count,unsupported_area_mm2,support_area_mm2,support_perimeter_mm
0,0.015,0.02633018,2.80148291,1,0,0.0,46.75,191.0
1,0.045,0.14812122,5.04404458,1,0,0.03497378,46.25,189.0
2,0.075,0.32394973,6.59712753,1,0,0.02193945,45.75,185.0
3,0.105,0.53950066,7.82030234,1,0,0.0,45.75,185.0
4,0.135,0.7897608,8.87300742,1,0,0.0,45.75,185.0
5,0.165,1.06872475,9.82629971,1,0,0.0,45.75,185.0
6,0.195,1.37527503,10.70026832,1,0,0.0,45.75,185.0
7,0.225,1.70548827,11.48218235,1,0,0.0,45.75,185.0
8,0.255,2.05860845,12.26409639,1,0,0.0,45.75,185.0
9,0.285,2.43341119,12.94905724,1,0,0.0,45.75,185.0
10,0.315,2.82753101,13.61260871,1,0,0.0,45.75,185.0
11,0.345,3.24090821,14.27616019,1,0,0.0,45.75,185.0
12,0.375,3.67287384,14.87871645,1,0,0.0,45.75,185.0
13,0.405,4.12151962,15.45570117,1,0,0.0,45.75,185.0
14,0.435,4.58672796,16.03268588,1,0,0.0,45.75,185.0
15,0.465,5.06848284,16.60146918,1,0,0.0,45.75,185.0
16,0.495,5.56551963,17.11244096,1,0,0.0,45.75,185.0
17,0.525,6.07704175,17.62341274,1,0,0.0,45.75,185.0
18,0.555,6.60304919,18.13438452,1,0,0.0,45.75,185.0
19,0.585,7.14353617,18.64100764,1,0,0.0,45.75,185.0
20,0.615,7.69754838,19.10001367,1,0,0.0,45.75,185.0
21,0.645,8.26439109,19.55901969,1,0,0.0,45.75,185.0
22,0.675,8.84406432,20.01802571,1,0,0.0,45.75,185.0
23,0.705,9.43656805,20.47703173,1,0,0.0,45.75,185.0
24,0.735,10.04166728,20.91131587,1,0,0.0,45.75,185.0
25,0.765,10.65835786,21.32837265,1,0,0.0,45.75,185.0
26,0.795,11.28652566,21.74542943,1,0,0.0,45.75,185.0
27,0.825,11.92617069,22.16248622,1,0,0.0,45.75,185.0
28,0.855,12.57729294,22.579543,1,0,0.0,45.75,185.0
29,0.885,13.23965485,22.97419489,1,0,0.0,45.75,185.0
30,0.915,13.91243337,23.3566911,1,0,0.0,45.75,185.0
31,0.945,14.59555856,23.73918732,1,0,0.0,45.75,185.0
32,0.975,15.28903042,24.12168354,1,0,0.0,45.75,185.0
33,1.005,15.99284896,24.50417976,1,0,0.0,45.75,185.0
34,1.035,16.70697955,24.87890503,1,0,0.0,45.75,185.0
35,1.065,17.43075272,25.2324426,1,0,0.0,45.75,185.0
36,1.095,18.16391115,25.58598017,1,0,0.0,45.75,185.0
37,1.125,18.90645483,25.93951774,1,0,0.0,45.75,185.0
38,1.155,19.65838376,26.29305531,1,0,0.0,45.75,185.0
39,1.185,20.41969794,26.64659288,1,0,0.0,45.75,185.0
40,1.215,21.19031029,26.98885512,1,0,0.0,45.75,185.0
41,1.245,21.96959971,27.31777642,1,0,0.0,45.75,185.0
42,1.275,22.75744429,27.64669772,1,0,0.0,45.75,185.0
43,1.305,23.55384402,27.97561902,1,0,0.0,45.75,185.0
44,1.335,24.35879891,28.30454033,1,0,0.0,45.75,185.0
45,1.365,25.17230896,28.63346163,1,0,0.0,45.75,185.0
46,1.395,25.99435554,28.95758392,1,0,0.0,45.75,185.0
47,1.425,26.82444838,29.26532202,1,0,0.0,45.75,185.0
48,1.455,27.66237031,29.57306013,1,0,0.0,45.75,185.0
49,1.485,28.50812134,29.88079823,1,0,0.0,45.75,185.0
50,1.515,29.36170146,30.18853633,1,0,0.0,45.75,185.0
51,1.545,30.22311067,30.49627444,1,0,0.0,45.75,185.0
52,1.575,31.09234898,30.80401254,1,0,0.0,45.75,185.0
53,1.605,31.96930693,31.1009946,1,0,0.0,45.75,185.0
54,1.635,32.85350726,31.39030602,1,0,0.0,45.75,185.0
55,1.665,33.7448943,31.67961744,1,0,0.0,45.75,185.0
56,1.695,34.64346805,31.96892886,1,0,0.0,45.75,185.0
57,1.725,35.54922852,32.25824028,1,0,0.0,45.75,185.0
