layer_index,z_mm,part_area_mm2,part_perimeter_mm,part_component_count,new_island_count,unsupported_area_mm2,support_area_mm2,support_perimeter_mm
0,0.02,230.88057931,570.930727,1,0,0.0,54.0,30.0
1,0.06,230.88057931,570.930727,1,0,0.0,54.0,30.0
2,0.1,230.88057931,570.930727,1,0,0.0,54.0,30.0
3,0.14,230.88057931,570.930727,1,0,0.0,54.0,30.0
4,0.18,230.88057931,570.930727,1,0,0.0,54.0,30.0
5,0.22,230.88057931,570.930727,1,0,0.0,54.0,30.0
6,0.26,230.88057931,570.930727,1,0,0.0,54.0,30.0
7,0.3,230.88057931,570.930727,1,0,0.0,54.0,30.0
8,0.34,230.88057931,570.930727,1,0,0.0,54.0,30.0
9,0.38,230.88057931,570.930727,1,0,0.0,54.0,30.0
10,0.42,230.88057931,570.930727,1,0,0.0,54.0,30.0
11,0.46,230.88057931,570.930727,1,0,0.0,54.0,30.0
12,0.5,230.88057931,570.930727,1,0,0.0,54.0,30.0
13,0.54,230.88057931,570.930727,1,0,0.0,54.0,30.0
14,0.58,230.88057931,570.930727,1,0,0.0,54.0,30.0
15,0.62,230.88057931,570.930727,1,0,0.0,54.0,30.0
16,0.66,230.88057931,570.930727,1,0,0.0,54.0,30.0
17,0.7,230.88057931,570.930727,1,0,0.0,54.0,30.0
18,0.74,230.88057931,570.930727,1,0,0.0,54.0,30.0
19,0.78,230.88057931,570.930727,1,0,0.0,54.0,30.0
20,0.82,230.88057931,570.930727,1,0,0.0,54.0,30.0
21,0.86,230.88057931,570.930727,1,0,0.0,54.0,30.0
22,0.9,230.88057931,570.930727,1,0,0.0,54.0,30.0
23,0.94,230.88057931,570.930727,1,0,0.0,54.0,30.0
24,0.98,230.88057931,570.930727,1,0,0.0,54.0,30.0
25,1.02,230.88057931,570.930727,1,0,0.0,54.0,30.0
26,1.06,230.88057931,570.930727,1,0,0.0,54.0,30.0
27,1.1,230.88057931,570.930727,1,0,0.0,54.0,30.0
28,1.14,230.88057931,570.930727,1,0,0.0,54.0,30.0
29,1.18,230.88057931,570.930727,1,0,0.0,54.0,30.0
30,1.22,230.88057931,570.930727,1,0,0.0,54.0,30.0
31,1.26,230.88057931,570.930727,1,0,0.0,54.0,30.0
32,1.3,230.88057931,570.930727,1,0,0.0,54.0,30.0
33,1.34,230.88057931,570.930727,1,0,0.0,54.0,30.0
34,1.38,230.88057931,570.930727,1,0,0.0,54.0,30.0
35,1.42,230.88057931,570.930727,1,0,0.0,54.0,30.0
36,1.46,230.88057931,570.930727,1,0,0.0,54.0,30.0
37,1.5,230.88057931,570.930727,1,0,0.0,54.0,30.0
38,1.54,230.88057931,570.930727,1,0,0.0,54.0,30.0
39,1.58,230.88057931,570.930727,1,0,0.0,54.0,30.0
40,1.62,230.88057931,570.930727,1,0,0.0,54.0,30.0
41,1.66,230.88057931,570.930727,1,0,0.0,54.0,30.0
42,1.7,230.88057931,570.930727,1,0,0.0,54.0,30.0
43,1.74,230.88057931,570.930727,1,0,0.0,54.0,30.0
44,1.78,230.88057931,570.930727,1,0,0.0,54.0,30.0
45,1.82,230.88057931,570.930727,1,0,0.0,54.0,30.0
46,1.86,230.88057931,570.930727,1,0,0.0,54.0,30.0
47,1.9,230.88057931,570.930727,1,0,0.0,54.0,30.0
48,1.94,230.88057931,570.930727,1,0,0.0,54.0,30.0
49,1.98,230.88057931,570.930727,1,0,0.0,54.0,30.0
50,2.02,230.88057931,570.930727,1,0,0.0,54.0,30.0
51,2.06,230.88057931,570.930727,1,0,0.0,54.0,30.0
52,2.1,230.88057931,570.930727,1,0,0.0,54.0,30.0
53,2.14,230.88057931,570.930727,1,0,0.0,54.0,30.0
54,2.18,230.88057931,570.930727,1,0,0.0,54.0,30.0
55,2.22,230.88057931,570.930727,1,0,0.0,54.0,30.0
56,2.26,230.88057931,570.930727,1,0,0.0,54.0,30.0
57,2.3,230.88057931,570.930727,1,0,0.0,54.0,30.0
58,2.34,230.88057931,570.930727,1,0,0.0,54.0,30.0
59,2.38,230.88057931,570.930727,1,0,0.0,54.0,30.0
60,2.42,230.88057931,570.930727,1,0,0.0,54.0,30.0
61,2.46,230.88057931,570.930727,1,0,0.0,54.0,30.0
62,2.5,230.88057931,570.930727,1,0,0.0,54.0,30.0
63,2.54,230.88057931,570.930727,1,0,0.0,54.0,30.0
64,2.58,230.88057931,570.930727,1,0,0.0,54.0,30.0
65,2.62,230.88057931,570.930727,1,0,0.0,54.0,30.0
66,2.66,230.88057931,570.930727,1,0,0.0,54.0,30.0
67,2.7,230.88057931,570.930727,1,0,0.0,54.0,30.0
68,2.74,230.88057931,570.930727,1,0,0.0,54.0,30.0
69,2.78,230.88057931,570.930727,1,0,0.0,54.0,30.0
70,2.82,230.88057931,570.930727,1,0,0.0,54.0,30.0
71,2.86,230.88057931,570.930727,1,0,0.0,54.0,30.0
