layer_index,z_mm,part_area_mm2,part_perimeter_mm,part_component_count,new_island_count,unsupported_area_mm2,support_area_mm2,support_perimeter_mm
0,0.02,5.86163805,10.93081902,1,0,0.0,667.0,247.0
1,0.06,10.54320556,13.27160278,1,0,4.36156751,662.5,247.0
2,0.1,13.75119525,14.87559762,1,0,2.88798969,658.0,247.0
3,0.14,16.1883935,16.09419675,1,0,2.11719826,653.5,247.0
4,0.18,18.47270477,17.23635239,1,0,1.96431127,653.5,247.0
5,0.22,20.36244335,18.18122167,1,0,1.56973858,649.0,247.0
6,0.26,22.13149193,19.06574596,1,0,1.44904858,649.0,247.0
7,0.3,23.86381648,19.93190824,1,0,1.41232456,649.0,247.0
8,0.34,25.30351229,20.65175615,1,0,1.11969581,644.5,247.0
9,0.38,26.7432081,21.37160405,1,0,1.11969581,644.5,247.0
10,0.42,28.18290391,22.09145195,1,0,1.11969581,640.0,247.0
11,0.46,29.42162481,22.7108124,1,0,0.9187209,640.0,247.0
12,0.5,30.63191504,23.31595752,1,0,0.89029023,640.0,247.0
13,0.54,31.84220527,23.92110264,1,0,0.89029023,640.0,247.0
14,0.58,33.0415815,24.52079075,1,0,0.87937622,635.5,247.0
15,0.62,34.08245901,25.0412295,1,0,0.72087751,635.5,247.0
16,0.66,35.12333652,25.56166826,1,0,0.72087751,635.5,247.0
17,0.7,36.16421404,26.08210702,1,0,0.72087751,631.0,246.0
18,0.74,37.20509155,26.60254577,1,0,0.72087751,631.0,246.0
19,0.78,38.15689156,27.07844578,1,0,0.63180001,631.0,246.0
20,0.82,39.06724873,27.53362436,1,0,0.59035717,631.0,246.0
21,0.86,39.9776059,27.98880295,1,0,0.59035717,628.75,245.0
22,0.9,40.88796307,28.44398153,1,0,0.59035717,626.5,244.0
23,0.94,41.79832024,28.89916012,1,0,0.59035717,626.5,244.0
24,0.98,42.63199091,29.31599546,1,0,0.51367067,626.5,244.0
25,1.02,43.43836467,29.71918233,1,0,0.48637376,626.5,244.0
26,1.06,44.24473842,30.12236921,1,0,0.48637376,622.0,242.0
27,1.1,45.05111218,30.52555609,1,0,0.48637376,622.0,242.0
28,1.14,45.85748594,30.92874297,1,0,0.48637376,622.0,242.0
29,1.18,46.64367532,31.32183766,1,0,0.46618938,622.0,242.0
30,1.22,47.36497863,31.68248931,1,0,0.40130331,622.0,242.0
31,1.26,48.08628193,32.04314097,1,0,0.40130331,617.5,240.0
32,1.3,48.80758524,32.40379262,1,0,0.40130331,617.5,240.0
33,1.34,49.52888854,32.76444427,1,0,0.40130331,617.5,240.0
34,1.38,50.25019185,33.12509592,1,0,0.40130331,617.5,240.0
35,1.42,50.95798071,33.47899036,1,0,0.38778886,617.5,240.0
36,1.46,51.60823332,33.80411666,1,0,0.33025261,617.5,240.0
37,1.5,52.25848593,34.12924296,1,0,0.33025261,613.0,238.0
38,1.54,52.90873853,34.45436927,1,0,0.33025261,613.0,238.0
39,1.58,53.55899114,34.77949557,1,0,0.33025261,613.0,238.0
40,1.62,54.20924375,35.10462187,1,0,0.33025261,613.0,238.0
41,1.66,54.85949635,35.42974818,1,0,0.33025261,613.0,238.0
42,1.7,55.47312775,35.73656388,1,0,0.2936314,613.0,238.0
43,1.74,56.06295341,36.0314767,1,0,0.26982565,608.5,236.0
44,1.78,56.65277906,36.32638953,1,0,0.26982565,608.5,236.0
45,1.82,57.24260471,36.62130236,1,0,0.26982565,608.5,236.0
46,1.86,57.83243036,36.91621518,1,0,0.26982565,608.5,236.0
47,1.9,58.42225602,37.21112801,1,0,0.26982565,608.5,236.0
48,1.94,59.01208167,37.50604084,1,0,0.26982565,608.5,236.0
49,1.98,59.57608599,37.788043,1,0,0.24400432,608.5,236.0
50,2.02,60.11375406,38.05687703,1,0,0.21766807,604.0,234.0
51,2.06,60.65142213,38.32571106,1,0,0.21766807,604.0,234.0
52,2.1,61.18909019,38.5945451,1,0,0.21766807,604.0,234.0
53,2.14,61.72675826,38.86337913,1,0,0.21766807,604.0,234.0
54,2.18,62.26442633,39.13221316,1,0,0.21766807,604.0,234.0
55,2.22,62.8020944,39.4010472,1,0,0.21766807,604.0,234.0
56,2.26,63.33976246,39.66988123,1,0,0.21766807,604.0,234.0
57,2.3,63.83779775,39.91889888,1,0,0.17803529,604.0,234.0
58,2.34,64.32984383,40.16492191,1,0,0.17204608,599.5,232.0
59,2.38,64.82188991,40.41094495,1,0,0.17204608,599.5,232.0
60,2.42,65.31393599,40.65696799,1,0,0.17204608,599.5,232.0
61,2.46,65.80598206,40.90299103,1,0,0.17204608,599.5,232.0
62,2.5,66.29802814,41.14901407,1,0,0.17204608,599.5,232.0
63,2.54,66.79007422,41.39503711,1,0,0.17204608,599.5,232.0
64,2.58,67.2821203,41.64106015,1,0,0.17204608,599.5,232.0
65,2.62,67.74433472,41.87216736,1,0,0.14221442,599.5,232.0
66,2.66,68.19601477,42.09800739,1,0,0.13168005,595.0,230.0
67,2.7,68.64769482,42.32384741,1,0,0.13168005,595.0,230.0
68,2.74,69.09937488,42.54968744,1,0,0.13168005,595.0,230.0
69,2.78,69.55105493,42.77552746,1,0,0.13168005,595.0,230.0
70,2.82,70.00273498,43.00136749,1,0,0.13168005,595.0,230.0
71,2.86,70.45441504,43.22720752,1,0,0.13168005,595.0,230.0
72,2.9,70.90609509,43.45304754,1,0,0.13168005,595.0,230.0
73,2.94,71.35349009,43.67674504,1,0,0.127395,595.0,230.0
74,2.98,71.76909056,43.88454528,1,0,0.09560047,595.0,230.0
75,3.02,69.4334145,50.71678316,2,0,0.09560047,590.5,228.0
76,3.06,67.82812151,49.91408958,2,0,0.09560047,595.0,237.0
77,3.1,66.88903823,49.44473467,2,0,0.09560047,595.0,237.0
78,3.14,66.19791605,49.09912932,2,0,0.09560047,595.0,237.0
79,3.18,65.66872404,48.83450958,2,0,0.09560047,599.5,237.0
80,3.22,65.25174033,48.62604025,2,0,0.09560047,599.5,237.0
81,3.26,64.91622184,48.45832043,2,0,0.09560047,599.5,237.0
82,3.3,64.64135761,48.32086788,2,0,0.09490192,599.5,237.0
83,3.34,64.38218723,48.19116294,2,0,0.06307456,599.5,237.0
84,3.38,64.17404212,48.08714187,2,0,0.06307456,599.5,237.0
85,3.42,64.00416091,48.00229182,2,0,0.06307456,599.5,235.0
86,3.46,63.8583944,47.92928354,2,0,0.06307456,599.5,235.0
87,3.5,63.74819022,47.87425011,2,0,0.06307456,599.5,235.0
88,3.54,63.66198307,47.83118478,2,0,0.06307456,599.5,235.0
89,3.58,63.59262494,47.79635032,2,0,0.06307456,599.5,235.0
90,3.62,63.55419446,47.77730954,2,0,0.06307456,599.5,235.0
91,3.66,63.52305603,47.76153009,2,0,0.06307456,599.5,235.0
92,3.7,63.50802206,47.75422218,2,0,0.0494258,599.5,235.0
93,3.74,63.48241835,47.74125016,2,0,0.0335097,599.5,235.0
94,3.78,63.48113942,47.74078044,2,0,0.0335097,604.0,235.0
95,3.82,63.48488494,47.74248181,2,0,0.0335097,604.0,235.0
96,3.86,63.51071404,47.75557282,2,0,0.0335097,599.5,215.0
97,3.9,63.53929912,47.76965098,2,0,0.0335097,599.5,215.0
98,3.94,63.5900288,47.79523455,2,0,0.0335097,599.5,215.0
99,3.98,63.6416405,47.82085661,2,0,0.0335097,599.5,215.0
100,4.02,63.71359974,47.85701541,2,0,0.0335097,599.5,215.0
101,4.06,63.78821458,47.89419822,2,0,0.0335097,599.5,215.0
102,4.1,63.86462536,47.93248923,2,0,0.02119948,599.5,215.0
103,4.14,63.93354887,47.96694455,2,0,0.0,599.5,215.0
104,4.18,64.00975729,48.00497206,2,0,0.0,599.5,215.0
105,4.22,64.09869252,48.0495678,2,0,0.0,599.5,215.0
106,4.26,64.18856532,48.09447329,2,0,0.0,599.5,215.0
107,4.3,64.29547852,48.14795485,2,0,0.0,599.5,215.0
