layer_index,z_mm,part_area_mm2,part_perimeter_mm,part_component_count,new_island_count,unsupported_area_mm2,support_area_mm2,support_perimeter_mm
0,0.015,2375.0,240.0,1,0,0.0,436.0,162.0
1,0.045,2375.0,240.0,1,0,0.0,436.0,162.0
2,0.075,2375.0,240.0,1,0,0.0,436.0,162.0
3,0.105,2375.0,240.0,1,0,0.0,436.0,162.0
4,0.135,2375.0,240.0,1,0,0.0,436.0,162.0
5,0.165,2375.0,240.0,1,0,0.0,436.0,162.0
6,0.195,2375.0,240.0,1,0,0.0,436.0,162.0
7,0.225,2375.0,240.0,1,0,0.0,436.0,162.0
8,0.255,2375.0,240.0,1,0,0.0,436.0,162.0
9,0.285,2375.0,240.0,1,0,0.0,436.0,162.0
10,0.315,2375.0,240.0,1,0,0.0,436.0,162.0
11,0.345,2375.0,240.0,1,0,0.0,436.0,162.0
12,0.375,2375.0,240.0,1,0,0.0,436.0,162.0
13,0.405,2375.0,240.0,1,0,0.0,436.0,162.0
14,0.435,2375.0,240.0,1,0,0.0,436.0,162.0
15,0.465,2375.0,240.0,1,0,0.0,436.0,162.0
16,0.495,2375.0,240.0,1,0,0.0,436.0,162.0
17,0.525,2375.0,240.0,1,0,0.0,436.0,162.0
18,0.555,2375.0,240.0,1,0,0.0,436.0,162.0
19,0.585,2375.0,240.0,1,0,0.0,436.0,162.0
20,0.615,2375.0,240.0,1,0,0.0,436.0,162.0
21,0.645,2375.0,240.0,1,0,0.0,436.0,162.0
22,0.675,2375.0,240.0,1,0,0.0,436.0,162.0
23,0.705,2375.0,240.0,1,0,0.0,436.0,162.0
24,0.735,2375.0,240.0,1,0,0.0,436.0,162.0
25,0.765,2375.0,240.0,1,0,0.0,436.0,162.0
26,0.795,2375.0,240.0,1,0,0.0,436.0,162.0
27,0.825,2375.0,240.0,1,0,0.0,436.0,162.0
28,0.855,2375.0,240.0,1,0,0.0,436.0,162.0
29,0.885,2375.0,240.0,1,0,0.0,436.0,162.0
30,0.915,2375.0,240.0,1,0,0.0,436.0,162.0
31,0.945,2375.0,240.0,1,0,0.0,436.0,162.0
32,0.975,2375.0,240.0,1,0,0.0,436.0,162.0
33,1.005,2375.0,240.0,1,0,0.0,436.0,162.0
34,1.035,2375.0,240.0,1,0,0.0,436.0,162.0
35,1.065,2375.0,240.0,1,0,0.0,436.0,162.0
36,1.095,2375.0,240.0,1,0,0.0,436.0,162.0
37,1.125,2375.0,240.0,1,0,0.0,436.0,162.0
38,1.155,2375.0,240.0,1,0,0.0,436.0,162.0
39,1.185,2375.0,240.0,1,0,0.0,436.0,162.0
40,1.215,2375.0,240.0,1,0,0.0,436.0,162.0
41,1.245,2375.0,240.0,1,0,0.0,436.0,162.0
42,1.275,2375.0,240.0,1,0,0.0,436.0,162.0
43,1.305,2375.0,240.0,1,0,0.0,436.0,162.0
44,1.335,2375.0,240.0,1,0,0.0,436.0,162.0
45,1.365,2375.0,240.0,1,0,0.0,436.0,162.0
46,1.395,2375.0,240.0,1,0,0.0,436.0,162.0
47,1.425,2375.0,240.0,1,0,0.0,436.0,162.0
48,1.455,2375.0,240.0,1,0,0.0,436.0,162.0
49,1.485,2375.0,240.0,1,0,0.0,436.0,162.0
50,1.515,2375.0,240.0,1,0,0.0,436.0,162.0
51,1.545,2375.0,240.0,1,0,0.0,436.0,162.0
52,1.575,2375.0,240.0,1,0,0.0,436.0,162.0
53,1.605,2375.0,240.0,1,0,0.0,436.0,162.0
54,1.635,2375.0,240.0,1,0,0.0,436.0,162.0
55,1.665,2375.0,240.0,1,0,0.0,436.0,162.0
56,1.695,2375.0,240.0,1,0,0.0,436.0,162.0
57,1.725,2375.0,240.0,1,0,0.0,436.0,162.0
58,1.755,2375.0,240.0,1,0,0.0,436.0,162.0
59,1.785,2375.0,240.0,1,0,0.0,436.0,162.0
60,1.815,2375.0,240.0,1,0,0.0,436.0,162.0
61,1.845,2375.0,240.0,1,0,0.0,436.0,162.0
62,1.875,2375.0,240.0,1,0,0.0,436.0,162.0
63,1.905,2375.0,240.0,1,0,0.0,436.0,162.0
64,1.935,2375.0,240.0,1,0,0.0,436.0,162.0
65,1.965,2375.0,240.0,1,0,0.0,436.0,162.0
66,1.995,2375.0,240.0,1,0,0.0,436.0,162.0
67,2.025,2375.0,240.0,1,0,0.0,436.0,162.0
68,2.055,2375.0,240.0,1,0,0.0,436.0,162.0
69,2.085,2375.0,240.0,1,0,0.0,436.0,162.0
70,2.115,2375.0,240.0,1,0,0.0,436.0,162.0
71,2.145,2375.0,240.0,1,0,0.0,436.0,162.0
72,2.175,2375.0,240.0,1,0,0.0,436.0,162.0
73,2.205,2375.0,240.0,1,0,0.0,436.0,162.0
74,2.235,2375.0,240.0,1,0,0.0,436.0,162.0
75,2.265,2375.0,240.0,1,0,0.0,436.0,162.0
76,2.295,2375.0,240.0,1,0,0.0,436.0,162.0
77,2.325,2375.0,240.0,1,0,0.0,436.0,162.0
78,2.355,2375.0,240.0,1,0,0.0,436.0,162.0
79,2.385,2375.0,240.0,1,0,0.0,436.0,162.0
80,2.415,2375.0,240.0,1,0,0.0,436.0,162.0
81,2.445,2375.0,240.0,1,0,0.0,436.0,162.0
82,2.475,2375.0,240.0,1,0,0.0,436.0,162.0
83,2.505,2375.0,240.0,1,0,0.0,436.0,162.0
84,2.535,2375.0,240.0,1,0,0.0,436.0,162.0
85,2.565,2375.0,240.0,1,0,0.0,436.0,162.0
86,2.595,2375.0,240.0,1,0,0.0,436.0,162.0
87,2.625,2375.0,240.0,1,0,0.0,436.0,162.0
88,2.655,2375.0,240.0,1,0,0.0,436.0,162.0
89,2.685,2375.0,240.0,1,0,0.0,436.0,162.0
90,2.715,2375.0,240.0,1,0,0.0,436.0,162.0
91,2.745,2375.0,240.0,1,0,0.0,436.0,162.0
92,2.775,2375.0,240.0,1,0,0.0,436.0,162.0
93,2.805,2375.0,240.0,1,0,0.0,436.0,162.0
94,2.835,2375.0,240.0,1,0,0.0,436.0,162.0
95,2.865,2375.0,240.0,1,0,0.0,436.0,162.0
96,2.895,2375.0,240.0,1,0,0.0,436.0,162.0
97,2.925,2375.0,240.0,1,0,0.0,436.0,162.0
98,2.955,2375.0,240.0,1,0,0.0,436.0,162.0
99,2.985,2375.0,240.0,1,0,0.0,436.0,162.0
100,3.015,2375.0,240.0,1,0,0.0,436.0,162.0
