layer_index,z_mm,part_area_mm2,part_perimeter_mm,part_component_count,new_island_count,unsupported_area_mm2,support_area_mm2,support_perimeter_mm
0,0.02,0.12316524,6.67051574,1,0,0.0,507.0,947.0
1,0.06,0.6773713,11.99986601,1,0,0.32082955,506.0,947.0
2,0.1,1.48059395,15.73117034,1,0,0.38306516,505.0,947.0
3,0.14,2.46899966,18.5505829,1,0,0.43657567,504.0,945.0
4,0.18,3.61800022,21.12138086,1,0,0.49770443,498.5,937.0
5,0.22,4.89996497,23.31645919,1,0,0.54043098,498.0,937.0
6,0.26,6.30798543,25.47054326,1,0,0.58997502,497.5,937.0
7,0.3,7.82746014,27.2681361,1,0,0.62669025,497.0,937.0
8,0.34,9.44656843,29.0658328,1,0,0.66525222,496.5,937.0
9,0.38,10.78212218,30.78674442,1,0,0.50427182,496.0,935.0
10,0.42,11.89692958,32.32324458,1,0,0.43639543,490.5,922.0
11,0.46,12.98746504,36.05903069,2,1,0.49296077,489.75,921.0
12,0.5,14.00802864,37.80601054,2,0,0.41186831,489.25,921.0
13,0.54,14.96486213,39.3623483,2,0,0.38745563,488.75,921.0
14,0.58,15.87289592,40.91715116,2,0,0.36763163,488.75,921.0
15,0.62,16.7368719,42.4755109,2,0,0.35191599,484.25,913.0
16,0.66,17.57257009,44.00157173,2,0,0.34102491,483.25,909.0
17,0.7,18.37507795,45.40763357,2,0,0.32520473,483.25,909.0
18,0.74,19.14735292,46.81841065,2,0,0.31504597,482.75,909.0
19,0.78,19.89925245,48.22998835,2,0,0.30708208,482.75,909.0
20,0.82,20.63094761,49.64156606,2,0,0.2991182,482.25,907.0
21,0.86,21.34097486,50.94116353,2,0,0.28955521,478.5,898.0
22,0.9,22.03414671,52.2365414,2,0,0.28318281,478.0,898.0
23,0.94,22.7116089,53.53191928,2,0,0.27699628,478.0,898.0
24,0.98,23.37336145,54.82729715,2,0,0.27080975,477.5,898.0
25,1.02,24.02216814,56.10844445,2,0,0.26662007,477.5,898.0
26,1.06,24.66036955,57.31084212,2,0,0.26064373,477.0,896.0
27,1.1,25.28612303,58.51323979,2,0,0.25569149,473.75,889.0
28,1.14,25.89942858,59.71563746,2,0,0.25073925,473.25,889.0
29,1.18,26.50114975,60.92075756,2,0,0.24662277,473.25,889.0
30,1.22,27.09645858,62.12861462,2,0,0.24454778,473.25,889.0
31,1.26,27.6840329,63.2587073,2,0,0.24030404,472.75,887.0
32,1.3,28.26124541,64.38516079,2,0,0.23614986,472.75,887.0
33,1.34,28.82808586,65.51161428,2,0,0.23208944,469.5,884.0
