layer_index,z_mm,part_area_mm2,part_perimeter_mm,part_component_count,new_island_count,unsupported_area_mm2,support_area_mm2,support_perimeter_mm
0,0.015,0.03200169,4.26773514,1,0,0.0,20.5,88.0
1,0.045,0.21684284,7.60933208,1,0,0.05401141,20.0,86.0
2,0.075,0.48717873,10.28212616,1,0,0.0394018,18.5,82.0
3,0.105,0.82082769,11.99192322,1,0,0.02270051,17.75,77.0
4,0.135,1.2055179,13.70172028,1,0,0.02270051,17.5,76.0
5,0.165,1.64088508,15.30318114,1,0,0.02233624,17.0,72.0
6,0.195,2.11703577,16.52635855,1,0,0.0,17.0,72.0
7,0.225,2.62952861,17.74953596,1,0,0.0,17.0,72.0
8,0.255,3.17836359,18.97271337,1,0,0.0,17.0,72.0
9,0.285,3.76347495,20.16170338,1,0,0.0,17.0,72.0
10,0.315,4.37985772,21.11499964,1,0,0.0,17.0,72.0
11,0.345,5.02438621,22.06829589,1,0,0.0,17.0,72.0
12,0.375,5.69706042,23.02159215,1,0,0.0,17.0,72.0
13,0.405,6.39788036,23.97488841,1,0,0.0,17.0,72.0
14,0.435,7.12684602,24.92818467,1,0,0.0,17.0,72.0
15,0.465,7.88196687,25.73210799,1,0,0.0,17.0,72.0
16,0.495,8.66003577,26.51401842,1,0,0.0,17.0,72.0
17,0.525,9.46100949,27.29592885,1,0,0.0,17.0,72.0
18,0.555,10.28488802,28.07783928,1,0,0.0,17.0,72.0
19,0.585,11.13167138,28.85974971,1,0,0.0,17.0,72.0
20,0.615,12.00135956,29.64166014,1,0,0.0,17.0,72.0
21,0.645,12.89355709,30.36846916,1,0,0.0,17.0,72.0
22,0.675,13.80553136,31.03202275,1,0,0.0,17.0,72.0
23,0.705,14.73676119,31.69557634,1,0,0.0,17.0,72.0
24,0.735,15.6872466,32.35912992,1,0,0.0,17.0,72.0
25,0.765,16.65698757,33.02268351,1,0,0.0,17.0,72.0
26,0.795,17.64598411,33.68623709,1,0,0.0,17.0,72.0
27,0.825,18.65423622,34.34979068,1,0,0.0,17.0,72.0
28,0.855,19.68174389,35.01334426,1,0,0.0,17.0,72.0
29,0.885,20.72736953,35.59735244,1,0,0.0,17.0,72.0
30,0.915,21.78956484,36.17433655,1,0,0.0,17.0,72.0
31,0.945,22.86832095,36.75132066,1,0,0.0,17.0,72.0
32,0.975,23.96363787,37.32830476,1,0,0.0,17.0,72.0
33,1.005,25.07551558,37.90528887,1,0,0.0,17.0,72.0
34,1.035,26.2039541,38.48227298,1,0,0.0,17.0,72.0
35,1.065,27.3462746,39.05950114,1,0,0.0,17.0,72.0
36,1.095,28.3720731,39.64014674,1,0,0.0,17.0,72.0
37,1.125,29.31446175,40.20612513,1,0,0.0,17.0,72.0
38,1.155,30.20082443,40.72521467,1,0,0.0,17.0,72.0
39,1.185,31.050489,41.24460903,1,0,0.0,17.0,72.0
40,1.215,31.86369931,41.76440077,1,0,0.0,17.0,72.0
41,1.245,32.64934165,42.28714578,1,0,0.0,17.0,72.0
42,1.275,33.41312579,42.8098908,1,0,0.0,17.0,72.0
43,1.305,34.15505172,43.33263581,1,0,0.0,17.0,72.0
44,1.335,34.87531361,43.85610627,1,0,0.0,17.0,72.0
45,1.365,35.57940534,44.38218413,1,0,0.0,17.0,72.0
46,1.395,36.26983515,44.90826198,1,0,0.0,17.0,72.0
47,1.425,36.94643343,45.41080935,1,0,0.0,17.0,72.0
48,1.455,37.6079628,45.88491922,1,0,0.0,17.0,72.0
49,1.485,38.25429413,46.35973355,1,0,0.0,17.0,72.0
50,1.515,38.88892562,46.83715423,1,0,0.0,17.0,72.0
51,1.545,39.51348114,47.31457492,1,0,0.0,17.0,72.0
52,1.575,40.12796071,47.7919956,1,0,0.0,17.0,72.0
53,1.605,40.73236432,48.26941628,1,0,0.0,17.0,72.0
54,1.635,41.32669196,48.74683697,1,0,0.0,17.0,72.0
55,1.665,41.91096647,49.22462508,1,0,0.0,17.0,72.0
56,1.695,42.48737509,49.70533082,1,0,0.0,17.0,72.0
57,1.725,43.05735718,50.18603657,1,0,0.0,17.0,72.0
58,1.755,43.62069861,50.64314328,1,0,0.0,17.0,72.0
59,1.785,44.17638985,51.08190129,1,0,0.0,17.0,72.0
60,1.815,44.72430147,51.5206593,1,0,0.0,17.0,72.0
61,1.845,45.26443346,51.95941731,1,0,0.0,17.0,72.0
62,1.875,45.79678583,52.39817532,1,0,0.0,17.0,72.0
63,1.905,46.3225101,52.83994336,1,0,0.0,17.0,72.0
64,1.935,46.8431417,53.28195723,1,0,0.0,17.0,72.0
65,1.965,47.3586883,53.72397111,1,0,0.0,17.0,72.0
66,1.995,47.86914991,54.16598498,1,0,0.0,17.0,72.0
67,2.025,48.37452652,54.60799885,1,0,0.0,17.0,72.0
68,2.055,48.87481814,55.05001273,1,0,0.0,17.0,72.0
69,2.085,49.37002476,55.4920266,1,0,0.0,17.0,72.0
70,2.115,49.85994961,55.91364851,1,0,0.0,17.0,72.0
71,2.145,50.3442094,56.32323731,1,0,0.0,17.0,72.0
72,2.175,50.82421243,56.73391549,1,0,0.0,17.0,72.0
73,2.205,51.30007723,57.14459367,1,0,0.0,17.0,72.0
74,2.235,51.77180381,57.55527185,1,0,0.0,17.0,72.0
75,2.265,52.23939218,57.96595003,1,0,0.0,17.0,72.0
76,2.295,52.70284233,58.3766282,1,0,0.0,17.0,72.0
77,2.325,53.16215426,58.78730638,1,0,0.0,17.0,72.0
78,2.355,53.61732797,59.19798456,1,0,0.0,17.0,72.0
79,2.385,54.06836346,59.60866274,1,0,0.0,17.0,72.0
80,2.415,54.51535512,60.02041859,1,0,0.0,17.0,72.0
81,2.445,54.95950042,60.43428729,1,0,0.0,17.0,72.0
82,2.475,55.40116217,60.84815599,1,0,0.0,17.0,72.0
83,2.505,55.84019284,61.2459797,1,0,0.0,17.0,72.0
84,2.535,56.27587426,61.63088937,1,0,0.0,17.0,72.0
85,2.565,56.70811086,62.01579904,1,0,0.0,17.0,72.0
86,2.595,57.13690263,62.40070871,1,0,0.0,17.0,72.0
87,2.625,57.56224958,62.78561837,1,0,0.0,17.0,72.0
88,2.655,57.9841517,63.17052804,1,0,0.0,17.0,72.0
89,2.685,58.402609,63.55543771,1,0,0.0,17.0,72.0
90,2.715,58.81762146,63.94034738,1,0,0.0,17.0,72.0
91,2.745,59.22982071,64.32830595,1,0,0.0,17.0,72.0
92,2.775,59.63992753,64.71637122,1,0,0.0,17.0,72.0
93,2.805,60.04794269,65.1044365,1,0,0.0,17.0,72.0
94,2.835,60.4538662,65.49250177,1,0,0.0,17.0,72.0
95,2.865,60.85769806,65.88056705,1,0,0.0,17.0,72.0
96,2.895,61.25943826,66.26863232,1,0,0.0,17.0,72.0
97,2.925,61.65899307,66.64499836,1,0,0.0,17.0,72.0
98,2.955,62.05574055,67.00844702,1,0,0.0,17.0,72.0
99,2.985,62.44956643,67.37189567,1,0,0.0,17.0,72.0
100,3.015,62.8404707,67.73534433,1,0,0.0,17.0,72.0
101,3.045,63.22845336,68.09879298,1,0,0.0,17.0,72.0
102,3.075,63.61369405,68.46400034,1,0,0.0,17.0,72.0
103,3.105,63.99703594,68.83056868,1,0,0.0,17.0,72.0
104,3.135,64.37858661,69.19713702,1,0,0.0,17.0,72.0
105,3.165,64.75834606,69.56370536,1,0,0.0,17.0,72.0
106,3.195,65.13631429,69.9302737,1,0,0.0,17.0,72.0
107,3.225,65.51249129,70.29684203,1,0,0.0,17.0,72.0
108,3.255,65.88687707,70.66341037,1,0,0.0,17.0,72.0
109,3.285,66.25947163,71.02997871,1,0,0.0,17.0,72.0
110,3.315,66.63027496,71.39654705,1,0,0.0,17.0,72.0
111,3.345,66.99928707,71.76311539,1,0,0.0,17.0,72.0
112,3.375,67.36645669,72.12172236,1,0,0.0,17.0,72.0
113,3.405,67.7312506,72.46710845,1,0,0.0,17.0,72.0
114,3.435,68.09353802,72.81295253,1,0,0.0,17.0,72.0
115,3.465,68.45392113,73.16142231,1,0,0.0,17.0,72.0
116,3.495,68.81274841,73.50989209,1,0,0.0,17.0,72.0
117,3.525,69.17001985,73.85836188,1,0,0.0,17.0,72.0
118,3.555,69.52573546,74.20683166,1,0,0.0,17.0,72.0
119,3.585,69.87989522,74.55530144,1,0,0.0,17.0,72.0
120,3.615,70.23249915,74.90377122,1,0,0.0,17.0,72.0
121,3.645,70.58354724,75.252241,1,0,0.0,17.0,72.0
122,3.675,70.9330395,75.60071078,1,0,0.0,17.0,72.0
123,3.705,71.28097591,75.94918056,1,0,0.0,17.0,72.0
124,3.735,71.62735649,76.29765034,1,0,0.0,17.0,72.0
125,3.765,71.97218123,76.64612012,1,0,0.0,17.0,72.0
126,3.795,72.31545014,76.99458991,1,0,0.0,17.0,72.0
127,3.825,72.6571632,77.34305969,1,0,0.0,17.0,72.0
128,3.855,72.99752263,77.68862967,1,0,0.0,17.0,72.0
129,3.885,73.33665247,78.02172028,1,0,0.0,17.0,72.0
130,3.915,73.67441418,78.35481089,1,0,0.0,17.0,72.0
131,3.945,74.01080775,78.68790149,1,0,0.0,17.0,72.0
132,3.975,74.3458332,79.0209921,1,0,0.0,17.0,72.0
133,4.005,74.67949052,79.35408271,1,0,0.0,17.0,72.0
134,4.035,75.01177971,79.68717331,1,0,0.0,17.0,72.0
135,4.065,75.34270077,80.02026392,1,0,0.0,17.0,72.0
136,4.095,75.67225371,80.35335452,1,0,0.0,17.0,72.0
137,4.125,76.00043851,80.68644513,1,0,0.0,17.0,72.0
138,4.155,76.32725518,81.01953574,1,0,0.0,17.0,72.0
139,4.185,76.65270372,81.35262634,1,0,0.0,17.0,72.0
140,4.215,76.97678414,81.68571695,1,0,0.0,17.0,72.0
141,4.245,77.29949642,82.01880755,1,0,0.0,17.0,72.0
142,4.275,77.62088756,82.35298245,1,0,0.0,17.0,72.0
143,4.305,77.94148774,82.68908675,1,0,0.0,17.0,72.0
144,4.335,78.26144571,83.02519106,1,0,0.0,17.0,72.0
145,4.365,78.58074854,83.35785744,1,0,0.0,17.0,72.0
146,4.395,78.89901324,83.67778043,1,0,0.0,17.0,72.0
147,4.425,79.21606185,83.99770343,1,0,0.0,17.0,72.0
148,4.455,79.53189435,84.31762642,1,0,0.0,17.0,72.0
149,4.485,79.84651076,84.63754942,1,0,0.0,17.0,72.0
150,4.515,80.15991107,84.95747242,1,0,0.0,17.0,72.0
151,4.545,80.47209528,85.27739541,1,0,0.0,17.0,72.0
152,4.575,80.78306339,85.59731841,1,0,0.0,17.0,72.0
153,4.605,81.09281541,85.91724141,1,0,0.0,17.0,72.0
154,4.635,81.40135132,86.2371644,1,0,0.0,17.0,72.0
155,4.665,81.70867114,86.5570874,1,0,0.0,17.0,72.0
156,4.695,82.01477486,86.8770104,1,0,0.0,17.0,72.0
157,4.725,82.31966277,87.19702327,1,0,0.0,17.0,72.0
158,4.755,82.62367475,87.51992643,1,0,0.0,17.0,72.0
159,4.785,82.92711281,87.8428296,1,0,0.0,17.0,72.0
160,4.815,83.22997694,88.16573276,1,0,0.0,17.0,72.0
161,4.845,83.53226716,88.48863593,1,0,0.0,17.0,72.0
162,4.875,83.83398345,88.8115391,1,0,0.0,17.0,72.0
163,4.905,84.13511538,89.13156308,1,0,0.0,17.0,72.0
164,4.935,84.43532109,89.44013482,1,0,0.0,17.0,72.0
165,4.965,84.73443535,89.74870656,1,0,0.0,17.0,72.0
166,4.995,85.03245817,90.05727831,1,0,0.0,17.0,72.0
167,5.025,85.32938953,90.36585005,1,0,0.0,17.0,72.0
168,5.055,85.62522943,90.6744218,1,0,0.0,17.0,72.0
169,5.085,85.91997789,90.98299354,1,0,0.0,17.0,72.0
170,5.115,86.2136349,91.29156529,1,0,0.0,17.0,72.0
171,5.145,86.50620045,91.60013703,1,0,0.0,17.0,72.0
172,5.175,86.79767456,91.90870877,1,0,0.0,17.0,72.0
173,5.205,87.08805721,92.21728052,1,0,0.0,17.0,72.0
174,5.235,87.37752103,92.52813938,1,0,0.0,17.0,72.0
175,5.265,87.66645287,92.83966001,1,0,0.0,17.0,72.0
176,5.295,87.95486718,93.15118063,1,0,0.0,17.0,72.0
177,5.325,88.24276397,93.46270125,1,0,0.0,17.0,72.0
178,5.355,88.53014322,93.77422188,1,0,0.0,17.0,72.0
179,5.385,88.81700495,94.0857425,1,0,0.0,17.0,72.0
180,5.415,89.10334915,94.39726312,1,0,0.0,17.0,72.0
181,5.445,89.38917583,94.70878375,1,0,0.0,17.0,72.0
182,5.475,89.67446737,95.01680637,1,0,0.0,17.0,72.0
183,5.505,89.9588951,95.31553845,1,0,0.0,17.0,72.0
184,5.535,90.24233487,95.61427053,1,0,0.0,17.0,72.0
185,5.565,90.52478668,95.91300261,1,0,0.0,17.0,72.0
186,5.595,90.80625053,96.2117347,1,0,0.0,17.0,72.0
187,5.625,91.08672642,96.51046678,1,0,0.0,17.0,72.0
188,5.655,91.36621436,96.80919886,1,0,0.0,17.0,72.0
189,5.685,91.64471433,97.10793094,1,0,0.0,17.0,72.0
190,5.715,91.92222635,97.40666302,1,0,0.0,17.0,72.0
191,5.745,92.19885043,97.7072102,1,0,0.0,17.0,72.0
192,5.775,92.47496704,98.0088618,1,0,0.0,17.0,72.0
193,5.805,92.75061321,98.3105134,1,0,0.0,17.0,72.0
194,5.835,93.02578894,98.612165,1,0,0.0,17.0,72.0
195,5.865,93.30049423,98.9138166,1,0,0.0,17.0,72.0
196,5.895,93.57472908,99.21546821,1,0,0.0,17.0,72.0
197,5.925,93.84849349,99.51711981,1,0,0.0,17.0,72.0
198,5.955,94.12178746,99.81877141,1,0,0.0,17.0,72.0
199,5.985,94.39461099,100.12042301,1,0,0.0,17.0,72.0
200,6.015,94.66696409,100.42207461,1,0,0.0,17.0,72.0
201,6.045,94.93884674,100.72372621,1,0,0.0,17.0,72.0
202,6.075,95.2102133,101.0200871,1,0,0.0,17.0,72.0
203,6.105,95.48074131,101.31024531,1,0,0.0,17.0,72.0
204,6.135,95.75036802,101.60040352,1,0,0.0,17.0,72.0
205,6.165,96.01909342,101.89056173,1,0,0.0,17.0,72.0
206,6.195,96.28691752,102.18071993,1,0,0.0,17.0,72.0
207,6.225,96.55384032,102.47087814,1,0,0.0,17.0,72.0
208,6.255,96.81986181,102.76103635,1,0,0.0,17.0,72.0
209,6.285,97.08506546,103.05291745,1,0,0.0,17.0,72.0
210,6.315,97.34979978,103.34596822,1,0,0.0,17.0,72.0
211,6.345,97.61410325,103.63901898,1,0,0.0,17.0,72.0
212,6.375,97.87797586,103.93206975,1,0,0.0,17.0,72.0
