
                        S T E P       1


                                INCREMENT     1


 displacements (vx,vy,vz) for set FRONT_READ and time  0.1000000E+01

         1  8.565356E-03  3.172050E+00  4.099295E+00
         3 -8.565356E-03  3.172050E+00 -4.099295E+00

 stresses (elem, integ.pnt.,sxx,syy,szz,sxy,sxz,syz) for set ALL_MEMBERS and time  0.1000000E+01

         1   1 -1.797590E-12  1.482813E-10 -1.440564E-12 -1.412468E-12 -5.123486E-13  1.681347E-13
         1   2 -5.563096E-13  1.492366E-10 -1.893274E-13  1.380227E-12  6.968061E-13 -1.915535E-12
         1   3  3.011846E-13  1.400760E-10 -9.506773E-13 -3.547765E-14 -1.953473E-13  1.981588E-13
         1   4  8.641672E-13  1.407401E-10  9.685830E-15 -1.153522E-12  7.002478E-13 -1.885511E-12
         1   5 -1.436995E-12  8.894217E-11 -9.736039E-13 -1.267907E-12 -8.594015E-13 -1.038832E-12
         1   6 -5.645023E-13  8.953053E-11 -5.853440E-13  1.665761E-12  3.942195E-13  5.704571E-13
         1   7  5.934401E-13  8.058112E-11 -5.509620E-13  6.678008E-14 -9.013270E-13 -1.002804E-12
         1   8  7.857465E-13  8.087459E-11 -4.552232E-13 -1.051745E-12  5.430538E-13  5.944764E-13
         2   1 -1.282523E-12 -4.766866E-10 -2.524886E-12  3.853870E-13 -9.679674E-14 -1.741395E-13
         2   2  6.477185E-13 -4.744657E-10  1.943080E-12 -1.738581E-13  4.235753E-13  3.122502E-13
         2   3  2.521428E-13 -4.542826E-10 -1.999359E-12 -2.142967E-13 -1.053634E-12 -1.681347E-13
         2   4 -3.034842E-13 -4.531421E-10  1.355149E-12  3.746440E-13  2.000341E-12  3.482791E-13
         2   5  1.165140E-12 -4.666793E-10  4.825466E-13  3.323288E-13 -5.867582E-13  2.041636E-13
         2   6 -9.751915E-13 -4.685322E-10 -4.556850E-12 -2.047735E-13  7.054388E-13 -4.503609E-13
         2   7  2.717432E-12 -4.442324E-10  1.013850E-12 -1.541079E-13 -1.419714E-12  2.221780E-13
         2   8 -1.953122E-12 -4.472122E-10 -5.247582E-12  4.524251E-13  2.072416E-12 -4.383513E-13
         3   1 -3.787002E-12 -3.394852E-12 -1.894932E+01  5.127171E-13  5.507539E-13  8.646929E-13
         3   2 -1.188010E-12  7.284167E-13 -1.894932E+01  5.312564E-13 -1.592870E-12 -1.669338E-12
         3   3 -3.268724E-12 -1.806824E-12 -1.894932E+01  7.417296E-13  7.755590E-13 -1.164934E-12
         3   4 -5.546579E-13  2.612657E-12 -1.894932E+01  8.859162E-14 -1.492102E-12 -5.284235E-13
         3   5 -1.039632E-12 -3.460828E-12 -1.894932E+01  3.078193E-13 -1.242245E-12  1.080866E-12
         3   6 -1.569536E-13 -5.426843E-14 -1.894932E+01  2.712742E-13 -2.116696E-13 -1.549242E-12
         3   7 -8.166882E-14 -1.085139E-12 -1.894932E+01  6.603382E-13 -1.013218E-12 -9.907940E-13
         3   8  6.092003E-13  1.873111E-12 -1.894932E+01 -1.409867E-14 -1.747025E-13 -4.983994E-13
         4   1 -2.263417E-12 -5.068724E-13  1.894932E+01 -2.175070E-12 -5.948517E-14  8.827074E-13
         4   2 -1.869250E-12  8.799432E-13  1.894932E+01 -7.160029E-13 -7.578260E-13  2.822262E-13
         4   3 -1.410765E-12 -5.361917E-12  1.894932E+01 -2.490306E-12 -1.480561E-13  1.705367E-12
         4   4 -7.564360E-13 -3.390383E-12  1.894932E+01 -1.311385E-12 -7.638309E-13  1.417136E-12
         4   5 -1.843395E-12 -1.624113E-12  1.894932E+01 -1.858238E-12  8.978132E-13  9.427555E-13
         4   6 -6.049438E-13  1.019003E-12  1.894932E+01 -4.862772E-13  8.594387E-13 -7.806256E-14
         4   7 -6.829698E-13 -5.803542E-12  1.894932E+01 -2.255896E-12  1.221979E-12  1.675343E-12
         4   8  2.503731E-13 -3.861050E-12  1.894932E+01 -1.110785E-12  8.283826E-13  1.525222E-12
         5   1 -9.251659E-13 -1.696494E+00 -1.898434E-01 -1.156067E-12 -4.092068E-13  5.675105E-01
         5   2  1.116654E-13 -1.696494E+00 -1.898434E-01  7.001705E-14 -1.008474E-13  5.675105E-01
         5   3 -3.402058E-12 -1.696494E+00 -1.898434E-01  1.334464E-12 -7.550699E-13  5.675105E-01
         5   4  1.307293E-12 -1.696494E+00 -1.898434E-01  5.932918E-13 -8.351937E-13  5.675105E-01
         5   5 -1.671831E-12 -1.696494E+00 -1.898434E-01 -8.077410E-13  4.416997E-13  5.675105E-01
         5   6  8.793943E-13 -1.696494E+00 -1.898434E-01 -1.923416E-15 -5.425060E-13  5.675105E-01
