layer_index,z_mm,part_area_mm2,part_perimeter_mm,part_component_count,new_island_count,unsupported_area_mm2,support_area_mm2,support_perimeter_mm
0,0.015,1.35,90.06,1,0,0.0,65.0,271.0
1,0.045,4.05,90.18,1,0,0.0,65.0,271.0
2,0.075,6.75,90.3,1,0,0.0,65.0,271.0
3,0.105,9.45,90.42,1,0,0.0,65.0,271.0
4,0.135,12.15,90.54,1,0,0.0,65.0,271.0
5,0.165,14.85,90.66,1,0,0.0,65.0,271.0
6,0.195,17.55,90.78,1,0,0.0,65.0,271.0
7,0.225,20.25,90.9,1,0,0.0,65.0,271.0
8,0.255,22.95,91.02,1,0,0.0,65.0,271.0
9,0.285,25.65,91.14,1,0,0.0,65.0,271.0
10,0.315,28.35,91.26,1,0,0.0,65.0,271.0
11,0.345,31.05,91.38,1,0,0.0,65.0,271.0
12,0.375,33.75,91.5,1,0,0.0,65.0,271.0
13,0.405,36.45,91.62,1,0,0.0,65.0,271.0
14,0.435,39.15,91.74,1,0,0.0,65.0,271.0
15,0.465,41.85,91.86,1,0,0.0,65.0,271.0
16,0.495,44.55,91.98,1,0,0.0,65.0,271.0
17,0.525,47.25,92.1,1,0,0.0,65.0,271.0
18,0.555,49.95,92.22,1,0,0.0,65.0,271.0
19,0.585,52.65,92.34,1,0,0.0,65.0,271.0
20,0.615,55.35,92.46,1,0,0.0,65.0,271.0
21,0.645,58.05,92.58,1,0,0.0,65.0,271.0
22,0.675,60.75,92.7,1,0,0.0,65.0,271.0
23,0.705,63.45,92.82,1,0,0.0,65.0,271.0
24,0.735,66.15,92.94,1,0,0.0,65.0,271.0
25,0.765,68.85,93.06,1,0,0.0,65.0,271.0
26,0.795,71.55,93.18,1,0,0.0,65.0,271.0
27,0.825,74.25,93.3,1,0,0.0,65.0,271.0
28,0.855,76.95,93.42,1,0,0.0,65.0,271.0
29,0.885,79.65,93.54,1,0,0.0,65.0,271.0
30,0.915,82.35,93.66,1,0,0.0,65.0,271.0
31,0.945,85.05,93.78,1,0,0.0,65.0,271.0
32,0.975,87.75,93.9,1,0,0.0,65.0,271.0
33,1.005,90.45,94.02,1,0,0.0,65.0,271.0
34,1.035,93.15,94.14,1,0,0.0,65.0,271.0
35,1.065,95.85,94.26,1,0,0.0,65.0,271.0
36,1.095,98.55,94.38,1,0,0.0,65.0,271.0
37,1.125,101.25,94.5,1,0,0.0,65.0,271.0
38,1.155,103.95,94.62,1,0,0.0,65.0,271.0
39,1.185,106.65,94.74,1,0,0.0,65.0,271.0
40,1.215,109.35,94.86,1,0,0.0,65.0,271.0
41,1.245,112.05,94.98,1,0,0.0,65.0,271.0
42,1.275,114.75,95.1,1,0,0.0,65.0,271.0
43,1.305,117.45,95.22,1,0,0.0,65.0,271.0
44,1.335,120.15,95.34,1,0,0.0,65.0,271.0
45,1.365,122.85,95.46,1,0,0.0,65.0,271.0
46,1.395,125.55,95.58,1,0,0.0,65.0,271.0
47,1.425,128.25,95.7,1,0,0.0,65.0,271.0
48,1.455,130.95,95.82,1,0,0.0,65.0,271.0
49,1.485,133.65,95.94,1,0,0.0,65.0,271.0
50,1.515,136.35,96.06,1,0,0.0,65.0,271.0
51,1.545,139.05,96.18,1,0,0.0,65.0,271.0
52,1.575,141.75,96.3,1,0,0.0,65.0,271.0
53,1.605,144.45,96.42,1,0,0.0,65.0,271.0
54,1.635,147.15,96.54,1,0,0.0,65.0,271.0
55,1.665,149.85,96.66,1,0,0.0,65.0,271.0
56,1.695,152.55,96.78,1,0,0.0,65.0,271.0
57,1.725,155.25,96.9,1,0,0.0,65.0,271.0
58,1.755,157.95,97.02,1,0,0.0,65.0,271.0
59,1.785,160.65,97.14,1,0,0.0,65.0,271.0
60,1.815,163.35,97.26,1,0,0.0,65.0,271.0
61,1.845,166.05,97.38,1,0,0.0,65.0,271.0
62,1.875,168.75,97.5,1,0,0.0,65.0,271.0
63,1.905,171.45,97.62,1,0,0.0,65.0,271.0
64,1.935,174.15,97.74,1,0,0.0,65.0,271.0
65,1.965,176.85,97.86,1,0,0.0,65.0,271.0
66,1.995,179.55,97.98,1,0,0.0,65.0,271.0
67,2.025,182.25,98.1,1,0,0.0,65.0,271.0
68,2.055,184.95,98.22,1,0,0.0,65.0,271.0
69,2.085,187.65,98.34,1,0,0.0,65.0,271.0
70,2.115,190.35,98.46,1,0,0.0,65.0,271.0
71,2.145,193.05,98.58,1,0,0.0,65.0,271.0
72,2.175,195.75,98.7,1,0,0.0,65.0,271.0
73,2.205,198.45,98.82,1,0,0.0,65.0,271.0
74,2.235,201.15,98.94,1,0,0.0,65.0,271.0
75,2.265,203.85,99.06,1,0,0.0,65.0,271.0
76,2.295,206.55,99.18,1,0,0.0,65.0,271.0
77,2.325,209.25,99.3,1,0,0.0,65.0,271.0
78,2.355,211.95,99.42,1,0,0.0,65.0,271.0
79,2.385,214.65,99.54,1,0,0.0,65.0,271.0
80,2.415,217.35,99.66,1,0,0.0,65.0,271.0
