layer_index,z_mm,part_area_mm2,part_perimeter_mm,part_component_count,new_island_count,unsupported_area_mm2,support_area_mm2,support_perimeter_mm
0,0.015,0.07596658,5.80040685,1,0,0.0,512.5,947.0
1,0.045,0.43396548,10.40959493,1,0,0.20635644,511.0,947.0
2,0.075,0.95155432,13.58102691,1,0,0.24565111,510.5,947.0
3,0.105,1.59281341,16.03384384,1,0,0.28583454,509.5,947.0
4,0.135,2.33400677,18.28509984,1,0,0.32107793,509.0,945.0
5,0.165,3.16715501,20.21411592,1,0,0.35354903,503.5,939.0
6,0.195,4.07858862,21.94796832,1,0,0.38097938,503.5,939.0
7,0.225,5.06501875,23.64857366,1,0,0.41030017,503.0,939.0
8,0.255,6.12120769,25.16988761,1,0,0.43529513,502.5,939.0
9,0.285,7.23998159,26.58025843,1,0,0.45795408,502.0,939.0
10,0.315,8.41954297,27.99062924,1,0,0.48179495,502.0,939.0
11,0.345,9.63993845,29.31135816,1,0,0.48568245,501.5,939.0
12,0.375,10.63804052,30.54169564,1,0,0.37870747,501.0,937.0
13,0.405,11.50866306,31.74008302,1,0,0.33801502,495.5,923.0
14,0.435,12.33211152,35.00562244,2,1,0.34240594,494.25,922.0
15,0.465,13.14879552,36.30517882,2,0,0.32513539,494.25,922.0
16,0.495,13.91891257,37.55016291,2,0,0.3075164,493.75,922.0
17,0.525,14.65321777,38.75244912,2,0,0.29383332,493.75,922.0
18,0.555,15.35730871,39.9548752,2,0,0.28175573,493.25,922.0
19,0.585,16.03502433,41.15868123,2,0,0.27212652,493.25,922.0
20,0.615,16.69143724,42.30169328,2,0,0.26368164,488.5,913.0
21,0.645,17.32781155,43.41356083,2,0,0.25567235,488.0,909.0
22,0.675,17.94300801,44.49890971,2,0,0.24741045,487.5,909.0
23,0.705,18.54084649,45.58582143,2,0,0.24115042,487.5,909.0
24,0.735,19.12510889,46.67396685,2,0,0.23634542,487.0,909.0
25,0.765,19.69612375,47.72864293,2,0,0.23102153,487.0,909.0
26,0.795,20.25290066,48.76783409,2,0,0.22559864,487.0,909.0
27,0.825,20.79727247,49.7622465,2,0,0.22050224,486.5,907.0
28,0.855,21.33086482,50.75839455,2,0,0.21669044,482.75,899.0
29,0.885,21.85492246,51.75454261,2,0,0.21298085,482.25,899.0
30,0.915,22.36944541,52.75069066,2,0,0.20927126,482.25,899.0
31,0.945,22.87513907,53.72019241,2,0,0.20588446,482.25,899.0
32,0.975,23.37244613,54.67900105,2,0,0.202443,481.75,899.0
