layer_index,z_mm,part_area_mm2,part_perimeter_mm,part_component_count,new_island_count,unsupported_area_mm2,support_area_mm2,support_perimeter_mm
0,0.025,0.11947218,7.3403906,1,0,0.0,85.5,293.0
1,0.075,0.63927891,12.94596681,1,0,0.14449284,83.5,283.0
2,0.125,1.38361226,16.68644943,1,0,0.08864933,82.5,279.0
3,0.175,2.29704346,19.76923225,1,0,0.0711602,82.0,277.0
4,0.225,3.35216455,22.45733338,1,0,0.05941325,81.0,273.0
5,0.275,4.53175477,24.79781516,1,0,0.05037842,80.5,271.0
6,0.325,5.82421156,26.95643619,1,0,0.04731654,80.0,269.0
7,0.375,7.21941075,28.9978228,1,0,0.04340761,79.5,267.0
8,0.425,8.70990705,30.84823135,1,0,0.03800826,79.0,265.0
9,0.475,10.29078391,32.63077964,1,0,0.03733584,78.5,265.0
10,0.525,11.95564485,34.30636021,1,0,0.03359898,77.5,263.0
11,0.575,13.70281678,35.91271839,1,0,0.0327386,77.0,259.0
12,0.625,15.52661984,37.44399481,1,0,0.02992444,76.5,257.0
13,0.675,17.42535986,38.92785796,1,0,0.02944409,76.0,255.0
14,0.725,19.39424717,40.33802687,1,0,0.02684537,75.5,253.0
15,0.775,21.43246472,41.73540965,1,0,0.02680426,75.5,253.0
16,0.825,23.53632858,43.04251289,1,0,0.02423446,75.0,251.0
17,0.875,25.70369509,44.34961685,1,0,0.02423446,75.0,251.0
18,0.925,27.93368894,45.59653401,1,0,0.02315856,74.5,249.0
19,0.975,30.22273741,46.8148726,1,0,0.02196346,74.0,247.0
20,1.025,32.571332,48.02904133,1,0,0.02195754,73.5,243.0
21,1.075,34.97776016,49.17015107,1,0,0.0,73.5,243.0
22,1.125,37.43960245,50.31126269,1,0,0.0,73.5,243.0
23,1.175,39.95717343,51.43523948,1,0,0.0,73.5,243.0
24,1.225,42.5273007,52.50855174,1,0,0.0,73.5,243.0
25,1.275,45.14875701,53.58186305,1,0,0.0,73.5,243.0
26,1.325,47.82133663,54.63868779,1,0,0.0,73.5,243.0
27,1.375,50.5428495,55.65201308,1,0,0.0,73.5,243.0
28,1.425,53.31340796,56.66533442,1,0,0.0,73.5,243.0
29,1.475,56.13292406,57.67217872,1,0,0.0,73.5,243.0
30,1.525,58.999461,58.63205857,1,0,0.0,73.5,243.0
31,1.575,61.91194054,59.59193832,1,0,0.0,73.5,243.0
32,1.625,64.87048276,60.55181854,1,0,0.0,73.5,243.0
33,1.675,67.87402353,61.47373387,1,0,0.0,73.5,243.0
34,1.725,70.92088089,62.385712,1,0,0.0,73.5,243.0
35,1.775,74.01112576,63.29768952,1,0,0.0,73.5,243.0
36,1.825,77.14487095,64.19715169,1,0,0.0,73.5,243.0
37,1.875,80.32032488,65.06594839,1,0,0.0,73.5,243.0
38,1.925,83.53692069,65.93474764,1,0,0.0,73.5,243.0
39,1.975,86.79471408,66.80354697,1,0,0.0,73.5,243.0
40,2.025,90.09322368,67.64833007,1,0,0.0,73.5,243.0
41,2.075,93.43094984,68.47801,1,0,0.0,73.5,243.0
42,2.125,96.80776511,69.30769007,1,0,0.0,73.5,243.0
43,2.175,100.22364323,70.13737057,1,0,0.0,73.5,243.0
44,2.225,103.67802145,70.93978834,1,0,0.0,73.5,243.0
45,2.275,107.16950169,71.73386684,1,0,0.0,73.5,243.0
46,2.325,110.69811266,72.52794575,1,0,0.0,73.5,243.0
47,2.375,114.26389858,73.32202354,1,0,0.0,73.5,243.0
48,2.425,117.86637586,74.09181893,1,0,0.0,73.5,243.0
49,2.475,121.5044266,74.85336461,1,0,0.0,73.5,243.0
50,2.525,125.17809308,75.61491044,1,0,0.0,73.5,243.0
51,2.575,128.88725054,76.37645747,1,0,0.0,73.5,243.0
52,2.625,132.63161086,77.12138763,1,0,0.0,73.5,243.0
53,2.675,136.40993779,77.85309459,1,0,0.0,73.5,243.0
54,2.725,140.22205077,78.5848016,1,0,0.0,73.5,243.0
55,2.775,144.06803401,79.31650945,1,0,0.0,73.5,243.0
56,2.825,147.94810984,80.04276971,1,0,0.0,73.5,243.0
57,2.875,151.86094904,80.74700669,1,0,0.0,73.5,243.0
58,2.925,155.80600057,81.45124347,1,0,0.0,73.5,243.0
59,2.975,159.78325399,82.15548015,1,0,0.0,73.5,243.0
60,3.025,163.79273916,82.85971637,1,0,0.0,73.5,243.0
61,3.075,167.83440287,83.54691001,1,0,0.0,73.5,243.0
62,3.125,171.90718973,84.22577519,1,0,0.0,73.5,243.0
63,3.175,176.010995,84.90463964,1,0,0.0,73.5,243.0
64,3.225,180.14585274,85.58350411,1,0,0.0,73.5,243.0
65,3.275,184.31184477,86.26236886,1,0,0.0,73.5,243.0
66,3.325,188.50830173,86.9182405,1,0,0.0,73.5,243.0
67,3.375,192.73442953,87.57360619,1,0,0.0,73.5,243.0
68,3.425,196.99018475,88.22897203,1,0,0.0,73.5,243.0
69,3.475,201.27560135,88.8843385,1,0,0.0,73.5,243.0
70,3.525,205.59079245,89.53709449,1,0,0.0,73.5,243.0
71,3.575,209.93505305,90.17063431,1,0,0.0,73.5,243.0
72,3.625,214.30779748,90.80417401,1,0,0.0,73.5,243.0
73,3.675,218.7089992,91.43771341,1,0,0.0,73.5,243.0
74,3.725,223.13867021,92.07125313,1,0,0.0,73.5,243.0
75,3.775,227.59688503,92.70283029,1,0,0.0,73.5,243.0
76,3.825,232.08296463,93.31604211,1,0,0.0,73.5,243.0
77,3.875,236.59643674,93.92925392,1,0,0.0,73.5,243.0
78,3.925,241.13729917,94.54246608,1,0,0.0,73.5,243.0
79,3.975,245.70553048,95.1556786,1,0,0.0,73.5,243.0
80,4.025,250.30110742,95.76889108,1,0,0.0,73.5,243.0
81,4.075,254.92355354,96.36482686,1,0,0.0,73.5,243.0
82,4.125,259.57226026,96.95906222,1,0,0.0,73.5,243.0
83,4.175,264.24733679,97.55329675,1,0,0.0,73.5,243.0
84,4.225,268.94881005,98.14753092,1,0,0.0,73.5,243.0
85,4.275,273.67665707,98.741765,1,0,0.0,73.5,243.0
86,4.325,278.4307484,99.32600685,1,0,0.0,73.5,243.0
87,4.375,283.21029809,99.90248545,1,0,0.0,73.5,243.0
88,4.425,288.01522299,100.47896461,1,0,0.0,73.5,243.0
89,4.475,292.84555061,101.0554447,1,0,0.0,73.5,243.0
90,4.525,297.70128404,101.63192394,1,0,0.0,73.5,243.0
91,4.575,302.58245528,102.20748869,1,0,0.0,73.5,243.0
92,4.625,307.48856058,102.76731844,1,0,0.0,73.5,243.0
93,4.675,312.41905738,103.32714816,1,0,0.0,73.5,243.0
94,4.725,317.37393629,103.88697811,1,0,0.0,73.5,243.0
95,4.775,322.35315088,104.44680897,1,0,0.0,73.5,243.0
96,4.825,327.35674195,105.00664068,1,0,0.0,73.5,243.0
97,4.875,332.38465693,105.56039917,1,0,0.0,73.5,243.0
98,4.925,337.43618693,106.10458808,1,0,0.0,73.5,243.0
99,4.975,342.51138541,106.64877766,1,0,0.0,73.5,243.0
100,5.025,347.61035518,107.19296779,1,0,0.0,73.5,243.0
101,5.075,352.73286289,107.73715798,1,0,0.0,73.5,243.0
102,5.125,357.87889075,108.28134828,1,0,0.0,73.5,243.0
103,5.175,363.04825627,108.81722809,1,0,0.0,73.5,243.0
104,5.225,368.24022231,109.34669039,1,0,0.0,73.5,243.0
105,5.275,373.45475165,109.87615047,1,0,0.0,73.5,243.0
106,5.325,378.69192112,110.40560984,1,0,0.0,73.5,243.0
107,5.375,383.95173487,110.93506929,1,0,0.0,73.5,243.0
108,5.425,389.23418671,111.46452827,1,0,0.0,73.5,243.0
109,5.475,394.53913911,111.98586989,1,0,0.0,73.5,243.0
110,5.525,399.86613586,112.50144264,1,0,0.0,73.5,243.0
111,5.575,405.21508612,113.01701521,1,0,0.0,73.5,243.0
112,5.625,410.58607327,113.53258632,1,0,0.0,73.5,243.0
113,5.675,415.97897028,114.04815706,1,0,0.0,73.5,243.0
114,5.725,421.39375334,114.56372784,1,0,0.0,73.5,243.0
