layer_index,z_mm,part_area_mm2,part_perimeter_mm,part_component_count,new_island_count,unsupported_area_mm2,support_area_mm2,support_perimeter_mm
0,0.02,0.12638132,6.8360529,1,0,0.0,506.25,948.0
1,0.06,0.6968269,12.20620024,1,0,0.32260497,504.75,948.0
2,0.1,1.51385094,15.78890859,1,0,0.37882368,504.25,948.0
3,0.14,2.51776927,18.60988222,1,0,0.43891986,503.25,946.0
4,0.18,3.6789599,21.12890741,1,0,0.49696004,497.75,938.0
5,0.22,4.97498969,23.41049282,1,0,0.54345102,497.25,938.0
6,0.26,6.39613635,25.41588758,1,0,0.58870084,496.75,938.0
7,0.3,7.92862837,27.34738405,1,0,0.6301412,496.25,938.0
8,0.34,9.56622206,29.09055831,1,0,0.6679249,495.75,938.0
9,0.38,10.90661135,30.77336433,1,0,0.50049493,495.25,936.0
10,0.42,12.02903797,32.38966532,1,0,0.43790387,489.75,922.0
11,0.46,13.12904783,36.08113472,2,1,0.49118309,489.0,921.0
12,0.5,14.15512359,37.78874741,2,0,0.41055619,488.5,921.0
13,0.54,15.1193633,39.39328922,2,0,0.38845001,488.0,921.0
14,0.58,16.03069844,40.95142342,2,0,0.36659065,488.0,921.0
15,0.62,16.9018635,42.51310922,2,0,0.35307628,483.75,914.0
16,0.66,17.73751059,43.98591588,2,0,0.33802747,482.75,910.0
17,0.7,18.54096861,45.42678377,2,0,0.32615178,482.75,910.0
18,0.74,19.31802894,46.86765086,2,0,0.31589298,482.25,910.0
19,0.78,20.07071484,48.26719235,2,0,0.30718834,482.25,910.0
20,0.82,20.80265146,49.60905002,2,0,0.29783725,481.75,908.0
21,0.86,21.51346336,50.9509045,2,0,0.28959585,478.0,899.0
22,0.9,22.20726634,52.29686758,2,0,0.28397401,477.5,899.0
23,0.94,22.88739755,53.56994958,2,0,0.27741336,477.5,899.0
24,0.98,23.55073029,54.82938006,2,0,0.27027774,477.0,899.0
25,1.02,24.2006135,56.09267686,2,0,0.26549717,477.0,899.0
26,1.06,24.84165597,57.35649687,2,0,0.26162662,476.5,897.0
27,1.1,25.47134595,58.549341,2,0,0.25565408,473.25,890.0
28,1.14,26.08774877,59.74148469,2,0,0.25069777,472.75,890.0
29,1.18,26.6953926,60.93573219,2,0,0.24744742,472.75,890.0
30,1.22,27.29472944,62.1299713,2,0,0.24419706,472.75,890.0
31,1.26,27.88419629,63.27429739,2,0,0.23974454,472.25,888.0
32,1.3,28.46287783,64.40850201,2,0,0.23592637,472.25,888.0
33,1.34,29.03405487,65.5433607,2,0,0.23315964,469.0,885.0
34,1.38,29.59819628,66.67821956,2,0,0.23039292,469.0,885.0
35,1.42,30.15513484,67.79553123,2,0,0.22744526,468.5,885.0
36,1.46,30.70386045,68.87869192,2,0,0.22393513,468.5,885.0
37,1.5,31.31760109,74.50346541,2,0,0.29288463,467.25,885.0
38,1.54,32.27787278,80.19799438,2,0,0.47514386,465.75,881.0
39,1.58,33.46408575,84.45865533,2,0,0.53443366,459.25,878.0
40,1.62,34.81868425,88.115024,2,0,0.58647299,458.75,878.0
41,1.66,36.31498341,91.19134801,2,0,0.63191805,457.75,878.0
42,1.7,37.93533739,94.1663492,2,0,0.6802874,456.75,878.0
43,1.74,39.66435322,96.86273351,2,0,0.71689958,456.75,878.0
44,1.78,41.49585308,99.50997835,2,0,0.75715942,447.25,853.0
45,1.82,43.41573727,101.9193138,2,0,0.78422299,446.25,849.0
46,1.86,45.04875625,104.31626278,2,0,0.62922667,445.75,849.0
47,1.9,46.47625577,106.56478908,2,0,0.56601538,444.75,849.0
48,1.94,47.78744599,108.77107281,2,0,0.52522254,444.75,849.0
49,1.98,49.01763031,110.97861528,2,0,0.49579805,444.25,849.0
50,2.02,50.18908233,113.02955234,2,0,0.47179527,437.75,837.0
51,2.06,51.307309,115.0537815,2,0,0.45209933,437.25,833.0
52,2.1,52.38667483,117.07935876,2,0,0.43676384,436.75,833.0
53,2.14,53.42730977,118.99155193,2,0,0.42072002,436.25,831.0
54,2.18,54.43625578,120.89676728,2,0,0.40827799,435.75,831.0
55,2.22,55.41606274,122.80693953,2,0,0.39712853,435.25,829.0
56,2.26,56.37418449,124.64684871,2,0,0.38902506,429.75,819.0
57,2.3,57.30860744,126.42395288,2,0,0.37789514,429.25,819.0
58,2.34,58.21911062,128.20281422,2,0,0.36866793,429.25,819.0
59,2.38,59.11257352,129.98472387,2,0,0.36243592,428.75,817.0
60,2.42,59.98950651,131.70367266,2,0,0.35501554,428.25,815.0
61,2.46,60.84837987,133.40561005,2,0,0.34738069,428.25,815.0
62,2.5,61.69279166,135.08679987,2,0,0.34223468,423.25,805.0
