layer_index,z_mm,part_area_mm2,part_perimeter_mm,part_component_count,new_island_count,unsupported_area_mm2,support_area_mm2,support_perimeter_mm
0,0.025,0.063146,3.98892172,1,0,0.0,5.75,26.0
1,0.075,0.34902068,7.18296598,1,0,0.07875149,4.25,22.0
2,0.125,0.75915321,9.24830604,1,0,0.04396436,3.25,16.0
3,0.175,1.26338019,10.93730498,1,0,0.03577911,3.25,16.0
4,0.225,1.84589614,12.45449411,1,0,0.03084192,2.75,14.0
5,0.275,2.49612287,13.75769051,1,0,0.02406115,2.25,10.0
6,0.325,3.20920374,14.9839472,1,0,0.02329016,2.25,10.0
7,0.375,3.97765809,16.08986319,1,0,0.0,2.25,10.0
8,0.425,4.79945327,17.16723454,1,0,0.0,2.25,10.0
9,0.475,5.66965893,18.12887864,1,0,0.0,2.25,10.0
10,0.525,6.58586703,19.09052275,1,0,0.0,2.25,10.0
11,0.575,7.54675202,19.97758732,1,0,0.0,2.25,10.0
12,0.625,8.54816887,20.82920545,1,0,0.0,2.25,10.0
13,0.675,9.58981816,21.68082357,1,0,0.0,2.25,10.0
14,0.725,10.67010177,22.46021877,1,0,0.0,2.25,10.0
15,0.775,11.78608492,23.2252284,1,0,0.0,2.25,10.0
16,0.825,12.93770421,23.99023803,1,0,0.0,2.25,10.0
17,0.875,14.12411456,24.70836466,1,0,0.0,2.25,10.0
18,0.925,15.34260627,25.40345893,1,0,0.0,2.25,10.0
19,0.975,16.59297538,26.09855319,1,0,0.0,2.25,10.0
20,1.025,17.87516352,26.78254042,1,0,0.0,2.25,10.0
21,1.075,19.18711194,27.42003328,1,0,0.0,2.25,10.0
22,1.125,20.52779771,28.05752613,1,0,0.0,2.25,10.0
23,1.175,21.89722083,28.69501899,1,0,0.0,2.25,10.0
24,1.225,23.29516105,29.31290854,1,0,0.0,2.25,10.0
25,1.275,24.71963928,29.90213849,1,0,0.0,2.25,10.0
26,1.325,26.17018474,30.49136845,1,0,0.0,2.25,10.0
27,1.375,27.64679745,31.08059841,1,0,0.0,2.25,10.0
28,1.425,29.14936183,31.656838,1,0,0.0,2.25,10.0
