crank_angle_deg,cycle_time_s,cantera_pressure_pa_abs_min,cantera_pressure_pa_abs_max,wiebe_pressure_pa_abs_min,wiebe_pressure_pa_abs_max,cross_model_pressure_pa_abs_min,cross_model_pressure_pa_abs_max,cantera_pressure_gauge_pa_min,cantera_pressure_gauge_pa_max,wiebe_pressure_gauge_pa_min,wiebe_pressure_gauge_pa_max,cross_model_pressure_gauge_pa_min,cross_model_pressure_gauge_pa_max,cantera_temperature_k_min,cantera_temperature_k_max,wiebe_temperature_k_min,wiebe_temperature_k_max,cross_model_temperature_k_min,cross_model_temperature_k_max,cantera_h_gas_w_m2_k_min,cantera_h_gas_w_m2_k_max,wiebe_h_gas_w_m2_k_min,wiebe_h_gas_w_m2_k_max,cross_model_h_gas_w_m2_k_min,cross_model_h_gas_w_m2_k_max,cantera_wall_heat_flux_w_m2_min,cantera_wall_heat_flux_w_m2_max,wiebe_wall_heat_flux_w_m2_min,wiebe_wall_heat_flux_w_m2_max,cross_model_wall_heat_flux_w_m2_min,cross_model_wall_heat_flux_w_m2_max
0,0.0,433448.171545,860486.338867,446568.702215,874063.170554,433448.171545,874063.170554,332123.171545,759161.338867,345243.702215,772738.170554,332123.171545,772738.170554,1302.27412633,1515.51160852,1385.4209767,1587.90913128,1302.27412633,1587.90913128,351.018665041,560.623786817,347.892480585,553.890110319,347.892480585,560.623786817,290388.659448,583335.558195,316728.61196,616222.289666,290388.659448,616222.289666
1,1.8518519e-05,426432.44919,848570.84203,439453.159538,862248.912896,426432.44919,862248.912896,325107.44919,747245.84203,338128.159538,760923.912896,325107.44919,760923.912896,1296.86033541,1510.09883799,1380.20353023,1582.80521701,1296.86033541,1582.80521701,347.231842004,555.456923399,344.138261516,548.833690853,344.138261516,555.456923399,285376.078135,574952.815965,311515.169213,607780.256187,285376.078135,607780.256187
2,3.7037037e-05,418808.306557,835237.993818,431712.568033,848999.207821,418808.306557,848999.207821,317483.306557,733912.993818,330387.568033,747674.207821,317483.306557,747674.207821,1290.98681351,1504.10434801,1374.54333373,1577.1546426,1290.98681351,1577.1546426,343.080805059,549.621381358,340.02005321,543.111582096,340.02005321,549.621381358,279949.412898,565617.753315,305862.772201,598355.353697,279949.412898,598355.353697
3,5.5555556e-05,410587.608217,820508.142486,423357.024966,834334.4614,410587.608217,834334.4614,309262.608217,719183.142486,322032.024966,733009.4614,309262.608217,733009.4614,1284.64308972,1497.51537231,1368.42896377,1570.94523341,1284.64308972,1570.94523341,338.565500365,543.115605017,335.536962182,536.722683385,335.536962182,543.115605017,274117.217788,555344.05507,299778.440429,587960.786362,274117.217788,587960.786362
4,7.4074074e-05,401793.320686,804422.634492,414408.008511,818294.887619,401793.320686,818294.887619,300468.320686,703097.634492,313083.008511,716969.887619,300468.320686,716969.887619,1277.82396738,1490.3241118,1361.85397337,1564.16891136,1277.82396738,1564.16891136,333.691598957,535.946437266,330.693815285,529.673669076,330.693815285,535.946437266,267895.613355,544159.340389,293277.124055,576623.028034,267895.613355,576623.028034
5,9.2592593e-05,392460.471601,787039.736774,404898.548979,800939.924204,392460.471601,800939.924204,291135.471601,685714.736774,303573.548979,699614.924204,291135.471601,699614.924204,1270.53068818,1482.52646777,1354.81733444,1556.82178488,1270.53068818,1556.82178488,328.471240795,528.127491201,325.501451878,521.978943966,325.501451878,528.127491201,261308.952238,532102.425744,286381.819747,564381.456281,261308.952238,564381.456281
6,0.000111111111,382636.022009,768436.723013,394873.391894,782347.090925,382636.022009,782347.090925,281311.022009,667111.723013,293548.391894,681022.090925,281311.022009,681022.090925,1262.77150926,1474.12329361,1347.32444345,1548.90415977,1262.77150926,1548.90415977,322.923239104,519.680377565,319.97701636,513.660401964,319.97701636,519.680377565,254389.727444,519224.770458,279123.772712,551287.621703,254389.727444,551287.621703
7,0.00012962963,372378.818915,748707.309191,384388.721066,762610.335139,372378.818915,762610.335139,271053.818915,647382.309191,283063.721066,661285.335139,271053.818915,661285.335139,1254.56262711,1465.11996392,1339.38743895,1540.420474,1254.56262711,1540.420474,317.073379221,510.633870217,314.144137641,504.746997224,314.144137641,510.633870217,247178.556491,505588.789155,271542.246597,537404.180561,247178.556491,537404.180561
8,0.000148148148,361759.484922,727959.662096,373511.979273,741837.935126,361759.484922,741837.935126,260434.484922,626634.662096,272186.979273,640512.935126,260434.484922,640512.935126,1245.9292443,1455.52625568,1331.0262005,1531.39557469,1245.9292443,1531.39557469,310.954752303,501.023362046,308.033163528,495.274145489,308.033163528,501.023362046,239724.112205,491266.561197,263684.458602,522803.535288,239724.112205,522803.535288
9,0.000166666667,350860.390322,706313.610543,362321.635221,720150.052443,350860.390322,720150.052443,249535.390322,604988.610543,260996.635221,618825.052443,249535.390322,618825.052443,1236.90698987,1445.35597741,1322.26944347,1521.88043563,1236.90698987,1521.88043563,304.608199058,490.889962999,301.681433323,485.282980774,301.681433323,490.889962999,232083.116035,476338.009847,255605.460118,507566.240838,232083.116035,507566.240838
10,0.000185185185,339775.902535,683898.186196,350907.089068,697676.03863,339775.902535,697676.03863,238450.902535,582573.186196,249582.089068,596351.03863,238450.902535,596351.03863,1227.54385466,1434.62676198,1313.07088315,1511.84087663,1227.54385466,1511.84087663,298.08298697,480.279752402,295.133685543,474.819497934,295.133685543,480.279752402,224320.520022,460889.303644,247368.11971,491779.244067,224320.520022,491779.244067
11,0.000203703704,328613.298308,660848.794161,339368.951803,674551.608379,328613.298308,674551.608379,227288.298308,559523.794161,238043.951803,573226.608379,227288.298308,573226.608379,1217.90301256,1423.35971511,1303.47993619,1501.29493448,1217.90301256,1501.29493448,291.437962806,469.242840233,288.442742554,463.933615252,288.442742554,469.242840233,216510.140543,445011.006279,239043.37342,475534.028029,216510.140543,475534.028029
12,0.000222222222,317495.114164,637304.357462,327820.123929,650915.990782,317495.114164,650915.990782,216170.114164,535979.357462,226495.123929,549590.990782,216170.114164,549590.990782,1208.0672793,1411.59597355,1293.65422026,1490.26347386,1208.0672793,1490.26347386,284.74367844,457.83238035,281.670736217,452.67819244,281.670736217,457.83238035,208736.273652,428796.203156,230711.042733,458924.733121,208736.273652,458924.733121
13,0.000240740741,306564.800509,613404.542072,316388.552149,626909.163055,306564.800509,626909.163055,205239.800509,512079.542072,215063.552149,525584.163055,205239.800509,525584.163055,1198.14702286,1399.38364442,1283.6858514,1478.7698263,1198.14702286,1478.7698263,278.086700355,446.103571267,274.891430473,441.108038752,274.891430473,446.103571267,201097.569459,412338.673676,222461.843468,442046.322816,201097.569459,442046.322816
14,0.000259259259,296001.470169,589287.154639,305223.826109,602669.258434,296001.470169,602669.258434,194676.470169,487962.154639,203898.826109,501344.258434,194676.470169,501344.258434,1188.29709104,1386.71446493,1273.69704106,1466.8394134,1188.29709104,1466.8394134,271.579869238,434.112676843,268.195020057,429.278943388,268.195020057,434.112676843,193717.130712,395731.169235,214402.123195,424992.854012,193717.130712,424992.854012
15,0.000277777778,286096.129979,565085.787022,294514.544398,578330.223251,286096.129979,578330.223251,184771.129979,463760.787022,193189.544398,477005.223251,184771.129979,477005.223251,1178.7916936,1373.61877653,1263.86064474,1454.49936467,1178.7916936,1454.49936467,265.412082405,421.916094798,261.699826554,417.246756371,261.699826554,421.916094798,186794.818977,379063.845229,206666.260198,407855.90169,186794.818977,407855.90169
16,0.000296296296,277359.672654,540927.760311,284579.226638,554019.779132,277359.672654,554019.779132,176034.672654,439602.760311,183254.226638,452694.779132,176034.672654,452694.779132,1170.09597823,1360.1282829,1254.4599681,1441.77813894,1170.09597823,1441.77813894,259.926173487,409.569495702,255.612906472,405.066543119,255.612906472,409.569495702,180673.637828,362422.8802,199477.523696,390723.175682,180673.637828,390723.175682
17,0.000314814815,270903.647078,516932.446359,276137.049575,529857.726529,270903.647078,529857.726529,169578.647078,415607.446359,174812.049575,428532.726529,169578.647078,428532.726529,1156.76436357,1346.27567631,1244.84433862,1428.70515778,1156.76436357,1428.70515778,256.628468627,397.127066078,250.398663204,392.791830422,250.398663204,397.127066078,174960.144587,345889.34535,193350.185378,373813.802065,174960.144587,373813.802065
