layer_index,z_mm,part_area_mm2,part_perimeter_mm,part_component_count,new_island_count,unsupported_area_mm2,support_area_mm2,support_perimeter_mm
0,0.025,16.18093597,16.90566775,1,0,0.0,5547.5,3131.0
1,0.075,22.39304766,23.09331022,1,0,5.35911366,5540.75,3137.0
2,0.125,28.42126955,26.05325095,1,0,4.86754591,5533.5,3141.0
3,0.175,34.62894273,27.98075944,1,0,4.90326374,5526.75,3143.0
4,0.225,40.4664955,29.06324178,1,0,4.44119021,5521.0,3142.0
5,0.275,46.2192439,30.20581909,1,0,4.30408089,5514.75,3145.0
6,0.325,51.69073686,31.45141444,1,0,3.96605699,5508.75,3145.0
7,0.375,57.13910379,32.7504262,1,0,3.88122173,5502.5,3146.0
8,0.425,62.19974193,34.01631682,1,0,3.42901969,5497.75,3148.0
9,0.475,67.15631684,35.29375277,1,0,3.26209932,5493.5,3148.0
10,0.525,72.33801871,36.60044866,1,0,3.42407777,5486.0,3149.0
11,0.575,77.71668941,37.94616678,1,0,3.55643576,5482.0,3150.0
12,0.625,83.28160289,39.33735149,1,0,3.67572013,5474.5,3151.0
13,0.675,89.18010479,40.80013258,1,0,3.9389058,5468.5,3152.0
14,0.725,95.44484219,42.31472069,1,0,4.2311257,5464.0,3154.0
15,0.775,742.88671104,218.34835861,2,1,645.33135948,4770.75,3174.0
16,0.825,774.19451258,226.90208613,2,0,23.44519928,4738.5,3162.0
17,0.875,794.95508335,230.10330509,3,1,12.82914181,4714.75,3153.0
18,0.925,815.4777021,234.61543579,3,0,12.52581124,4696.5,3145.0
19,0.975,836.16354458,236.26850496,3,0,12.51845798,4683.25,3140.0
20,1.025,857.6840853,239.41115567,2,0,13.34575067,4661.5,3133.0
21,1.075,878.03688951,240.17471737,2,0,12.12306701,4644.25,3126.0
22,1.125,897.64061505,241.18638093,2,0,11.40587213,4622.25,3117.0
23,1.175,916.62103055,242.39086818,2,0,10.80509959,4600.75,3101.0
24,1.225,933.94755036,243.04006065,2,0,9.15112493,4587.0,3097.0
25,1.275,950.37672262,243.58605634,2,0,8.27100399,4574.75,3097.0
26,1.325,966.72176832,244.19453782,2,0,8.22512718,4565.75,3087.0
27,1.375,982.69688995,245.43733742,2,0,7.88185781,4544.0,3083.0
28,1.425,998.7701734,246.91249864,2,0,7.97761892,4528.0,3075.0
29,1.475,1015.04190162,248.4629375,2,0,8.14016194,4516.5,3070.0
30,1.525,1065.01371906,268.82318447,4,2,41.82004133,4461.75,3083.0
31,1.575,1085.30240121,274.53321072,4,0,11.16519056,4444.0,3078.0
32,1.625,1106.26390263,280.77127701,4,0,11.61484415,4420.0,3068.0
33,1.675,1125.61086481,286.23215587,4,0,9.75229721,4406.5,3065.0
34,1.725,1143.86049319,291.7818474,4,0,8.43531655,4389.0,3063.0
35,1.775,1162.54190412,297.4207594,4,0,8.65437417,4370.75,3058.0
36,1.825,1181.9352987,303.38918753,4,0,9.14953442,4351.25,3056.0
37,1.875,1202.61603817,311.09329591,3,0,10.19163362,4333.5,3053.0
38,1.925,1223.96522513,317.03463725,3,0,10.55036115,4318.5,3049.0
39,1.975,1247.00293846,316.3389791,2,0,12.02225705,4296.5,3043.0
40,2.025,1268.61536664,314.02940887,2,0,10.68761544,4278.75,3035.0
41,2.075,1289.17782667,316.94857934,2,0,9.76069014,4259.5,3020.0
42,2.125,1310.46150509,321.71306308,2,0,10.388524,4240.0,3018.0
43,2.175,1331.32565648,324.22696738,2,0,9.90958045,4217.75,3013.0
44,2.225,1351.87138897,327.30189006,2,0,9.57823606,4202.25,3014.0
45,2.275,1373.30170149,331.22288733,2,0,10.46714798,4183.75,3008.0
46,2.325,1395.44563894,335.85039138,3,1,11.09604045,4165.5,3005.0
47,2.375,1417.60781915,342.11284306,3,0,10.92883337,4144.75,3002.0
48,2.425,1439.30144234,348.31068924,3,0,10.25167268,4126.75,3002.0
49,2.475,1458.81280798,351.82532761,3,0,7.85498863,4111.25,2998.0
50,2.525,1479.92784586,353.03886455,1,0,9.36016474,4092.0,2992.0
51,2.575,1499.22519448,350.45830464,1,0,7.58880363,4078.75,2983.0
52,2.625,1518.18688006,350.02229506,1,0,7.47232517,4067.75,2979.0
53,2.675,1536.0291641,348.25101311,1,0,6.44311871,4051.25,2968.0
54,2.725,1553.3469326,347.04264542,1,0,6.07899351,4036.25,2955.0
55,2.775,1569.86277011,346.57524729,1,0,5.41271054,4026.0,2948.0
56,2.825,1586.09171684,346.37622007,1,0,5.30828984,4015.5,2932.0
57,2.875,1602.85939975,347.17298445,1,0,5.9382655,4005.25,2918.0
58,2.925,1618.58948184,345.5279739,1,0,4.9285635,3993.25,2912.0
59,2.975,1633.97917726,344.09410183,1,0,4.73033422,3984.0,2907.0
60,3.025,1651.17853469,350.1956108,3,2,6.6893953,3965.0,2906.0
61,3.075,1670.06197732,352.67018736,3,0,8.28821875,3948.75,2901.0
62,3.125,1689.06934154,354.61684583,3,0,8.41647499,3932.75,2886.0
63,3.175,1707.82204934,357.91558049,4,1,8.18009545,3918.0,2874.0
64,3.225,1726.72335619,361.83395693,4,0,8.28353481,3901.5,2869.0
65,3.275,1743.96712392,360.48182195,3,0,6.56681034,3888.5,2853.0
66,3.325,1759.25279926,360.06441554,3,0,4.78606676,3875.75,2839.0
67,3.375,1774.4493118,359.55009982,3,0,4.80146731,3861.25,2826.0
68,3.425,1794.46968143,351.89941125,3,0,9.75385376,3846.5,2810.0
69,3.475,1808.6386935,348.45588728,3,0,4.4739254,3829.5,2796.0
70,3.525,1822.69660932,348.29590134,3,0,4.50634922,3822.5,2789.0
71,3.575,1836.69697595,348.27863118,3,0,4.52333668,3812.25,2779.0
72,3.625,1850.48692361,345.64604596,3,0,4.36382746,3803.0,2776.0
