case_id,cells,sink_mass_flow_kg_s,mass_imbalance_percent,plateau_percent,flow_gate_pass,energy_gate_applicable
2v-coarse-exhaust,7496,0.07603819079130376,1.158408024955718e-06,1.033010888002371e-09,True,False
2v-coarse-intake,7496,0.19774817243202175,2.7065550549186313e-09,1.12107314814814e-08,True,False
2v-fine-exhaust,83767,0.07868318924068897,4.481177381801461e-07,4.991426996658809e-10,True,False
2v-fine-intake,83767,0.19905129920053816,5.328041644330822e-07,5.500044104096623e-10,False,False
2v-medium-exhaust,22063,0.07779078587292247,9.191530480304752e-08,4.3274212373094344e-10,True,False
2v-medium-intake,22063,0.20079042480713546,1.8022797941088002e-08,4.07860678573348e-08,True,False
4v-coarse-exhaust,9660,0.08221954689756326,4.979019510175883e-07,3.6849257378737397e-09,False,False
4v-coarse-intake,9660,0.23629207905814648,7.244123559643355e-06,2.386175609807184e-07,False,False
4v-fine-exhaust,95381,0.08391575126360878,3.205271437058811e-08,4.292409383047397e-09,True,False
4v-fine-intake,95381,0.24247359906324698,3.3541459121539083e-06,9.859852640257442e-07,False,False
4v-medium-exhaust,25951,0.08250405491820768,2.1822510756667807e-07,6.256135682621702e-10,True,False
4v-medium-intake,25951,0.24148412256916563,3.3272656501156615e-05,6.278184390763311e-05,False,False
